S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,30999.321362,13,10,324,5011,46,71,0.02879,0.016692,0.073065,0.253465,5671060,9723904,4354
2,http://www.dronacharyaacademy.co.in,31000.580092,4,1,133,7388,30,93,0.019299,0.022807,0.030531,0.289003,3282680,5529600,1238
3,https://tamerakdesign.com,31001.089804,4,1,133,9405,45,65,0.033318,0.025244,0.083929,0.218409,7676636,11943936,3049
4,https://www.westcoastdancearts.com,31002.156173,2,2,317,7883,16,41,0.014832,0.013525,0.162566,0.53508,21675796,40308736,2319
5,https://www.oxygen360.com.au,31003.844773,4,1,54,2165,18,18,0.008943,0.009878,0.06829,0.175277,5916088,9986048,7014
6,https://www.kinnelaw.com,31003.997827,3,1,0,578,7,1,0.004682,0.000983,0.000512,0.035071,1288608,3297280,1875
7,https://norbutmfg.com,31005.457876,7,4,162,9652,57,127,0.04404,0.091608,0.087287,0.401113,5239740,9986048,3886
8,https://www.rinologiayolfato.com,31006.289789,5,11,293,20778,25,40,0.027966,0.022388,0.161344,0.711096,24253208,41050112,4415
9,https://www.totallyu.co.uk,31006.892895,1,5,401,1306,39,115,0.038378,0.050852,0.195684,0.9394,13778468,33579008,4798
10,https://www.osteopathcanada.com,31007.598978,1,1,256,12108,18,20,0.016669,0.009063,0.094718,0.365238,12969288,22360064,2296
11,http://www.fahrschule-frey.de,31008.042358,9,4,173,6547,26,36,0.015388,0.008442,0.021133,0.12105,3633248,5005312,6051
12,https://www.fernandawr.com,31008.634131,3,1,57,26045,30,27,0.06022,0.016243,0.021009,0.404712,3144624,4730880,5472
13,https://www.futurephysio.com,31008.957379,4,1,26,7285,20,38,0.017414,0.022312,0.058985,0.191141,4313072,8937472,6195
14,https://uuq-optic.com,31010.396468,2,5,556,88900,49,102,0.04442,0.109378,0.202414,0.982088,10915256,29868032,5175
15,https://nwtacticaltraining.com,31010.573082,5,3,140,2917,10,8,0.006126,0.002497,0.067757,0.121415,3162892,5791744,4180
16,https://www.familyabusesheltermc.org,31011.58109,2,2,288,33206,17,12,0.027136,0.021198,0.102074,0.51298,20546168,38383616,2609
17,http://www.fritra.ch,31012.059915,7,3,197,7909,89,137,0.014126,0.015967,0.110481,0.228757,5725216,11034624,5167
18,http://suhhani.com,31013.16649,5,2,1634,47633,59,111,0.069422,0.079851,0.099054,0.518177,11887492,20393984,3606
19,https://www.thevictoriasurbiton.co.uk,31014.430882,7,7,564,7239,88,143,0.051495,0.027068,0.276794,0.61789,12199436,30347264,5454
20,https://legend.life,31014.707418,10,4,71,11332,21,25,0.022206,0.020031,0.058353,0.219419,7089728,11558912,2797
21,https://palotagumi.hu,31015.658709,3,4,126,4131,45,88,0.101823,0.041894,0.153818,0.623265,6851312,11821056,6708
22,http://www.samuelmarwit.com,31016.363302,4,1,55,5402,15,15,0.028578,0.010533,0.023723,0.140719,2743616,4870144,5200
23,https://www.qualitysourcingglobal.com,31017.131731,2,1,95,11276,37,34,0.036951,0.021173,0.153902,0.400867,8289908,18542592,3077
24,https://www.taxi22000.at,31018.266046,8,7,153,2392,50,119,0.032892,0.035418,0.645719,0.880549,8552580,13393920,10575
25,http://www.grossepointehomes.com,31018.808689,3,1,17,2951,15,15,0.015714,0.005995,0.009802,0.076746,2449908,3956736,4976
