S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
48,http://www.leanderson.com.br,96882.116184,2,5,57,5361,98,137,0.037652,0.031024,0.20749,0.504046,9605552,28975104,7469
49,https://www.magie-maverick.com,96882.327567,3,1,54,8080,6,5,0.019581,0.010883,0.024809,0.118852,2589060,4481024,7365
50,https://www.saltspringunited.com,96885.53783,3,1,40,8974,26,100,0.031434,0.028825,0.016336,0.199369,2185976,3956736,4298
51,https://positivepants.co.uk,96886.193381,1,3,79,11215,26,62,0.10075,0.033734,0.046642,0.399808,2131716,3956736,9802
52,https://gnarlyeatstogo.com,96887.007663,4,1,19,2231,30,29,0.029695,0.019961,0.021277,0.156875,2298804,4083712,3360
53,https://seniorenheim-weihungszell.de,96888.122492,20,9,203,25161,61,90,0.05155,0.031276,0.10127,0.453709,4957648,9572352,3810
54,http://www.hanilhightech.co.kr,96888.859668,3,1,128,10578,33,53,0.296476,0.049266,0.052071,0.579911,2892628,4743168,9067
55,https://www.solutionsprint.fr,96889.037186,3,1,324,7408,5,1,0.005571,0.003719,0.001419,0.07667,1872964,3297280,3254
56,https://www.dowhatworks.co.uk,96889.83006,2,2,299,10339,19,32,0.022874,0.018796,0.119977,0.551881,14371032,23117824,2600
57,https://www.qplusconcept.com,96890.493994,4,5,23,4181,20,31,0.021008,0.016109,0.022565,0.140976,2904444,5267456,2742
58,http://www.campiglioconsulting.com,96890.644401,3,1,0,769,6,1,0.003946,0.000421,0,0.023362,1256996,3035136,2296
59,https://ikartindy.com,96894.19277,4,1,79,3976,31,29,0.03508,0.027634,0.029699,0.183937,3198864,7753728,3990
60,http://www.nwp-ksu.org,96894.650312,7,3,51,7297,39,61,0.025225,0.019687,0.123706,0.249517,8330092,13225984,3497
61,https://www.sakeco.ch,96896.151405,4,1,13,5218,18,19,0.016007,0.017021,0.024141,0.121287,2609236,4083712,4974
62,http://www.jjtaxiskirkcaldy.co.uk,96897.918722,1,1,35,1447,59,169,0.069696,0.053726,0.080784,0.377384,3734960,9986048,4490
63,https://www.freshsmiles.ca,96898.338681,2,3,265,11134,12,28,0.013433,0.012916,0.101392,0.428231,10642436,21082112,3177
64,http://www.tallerurbanomarbella.com,96899.693649,3,1,2,587,8,2,0.002136,0.000887,0.008963,0.039396,1708348,3694592,4752
65,http://zulukvillagehomestay.in,96902.812166,8,6,788,12813,47,47,0.04402,0.024456,0.124885,0.365712,6378896,11296768,5362
66,http://permare.net,96903.383224,3,2,135,1351,31,113,0.047269,0.105229,0.249767,0.639621,6240588,16801792,4839
67,https://www.localmeets.co.uk,96903.946233,12,8,165,4575,40,51,0.077755,0.020704,0.130028,0.347049,6752876,11034624,4430
68,https://www.la-maison-eliott.fr,96907.156953,2,3,145,13296,92,203,0.054506,0.035998,0.182762,0.500212,4658804,11296768,3450
69,https://www.ajs-shop.co.uk,96907.420216,4,1,253,9429,31,73,0.03722,0.023363,0.079879,0.234254,7031876,10301440,3709
70,http://www.sessellust.de,96911.009461,3,1,0,1374,5,1,0.00501,0.000362,0,0.026272,1233168,3035136,3674
71,http://www.curry-basmati-house.de,96911.578707,3,1,0,553,8,4,0.004487,0.001096,0,0.025831,1220828,3297280,2309
72,https://www.wyevalleyrecruitment.com,96912.045958,6,2,23,3985,35,20,0.024585,0.018913,0.025517,0.235231,2968880,4481024,6763
73,https://kentpaintball.co.uk,96914.342209,28,29,303,13721,74,116,0.045657,0.070539,0.208558,0.612882,12523304,21721088,9591
74,https://www.soelia.it,96918.315408,6,1,156,15890,56,64,0.033275,0.034455,0.070769,0.312458,5236512,9887744,6741
75,https://www.theburgerlab.co.uk,96922.814972,31,29,439,11167,59,68,0.043833,0.028563,0.200129,0.523834,15509848,25919488,3995
76,http://www.jlcwest.com,96924.763906,3,1,11,61209,11,19,0.131524,0.02222,0.011936,0.252029,3372788,6250496,1410
77,https://www.valoro.pl,96928.999553,7,3,52,6324,30,90,0.017522,0.020444,0.078695,0.198766,3883800,8937472,3993
78,http://www.rishabcommerce.com,96933.667366,3,1,18,2948,19,79,0.016176,0.017469,0.022573,0.124037,2307788,3956736,4347
79,https://rrequestriancenter.com,96937.886212,4,1,64,6008,15,36,0.01881,0.036933,0.038179,0.222887,4716488,7577600,37931
80,https://reliablepod.com,96943.364378,7,10,219,20509,81,66,0.032895,0.033317,0.145985,0.693986,9696336,14024704,3811
81,https://www.growupmarketing.com.ar,96945.21006,1,1,124,1848,456,459,0.097804,0.085331,0.070966,0.896834,3211136,6053888,6254
82,https://www.richardsonpodiatry.co.uk,96945.479166,2,2,216,3728,15,13,0.012091,0.010585,0.081137,0.319503,7436120,17588224,4234
83,https://groodybros.com,96947.180652,5,2,463,8153,22,22,0.013711,0.014935,0.102304,0.26246,6822764,12001280,3026
84,http://www.metrodriltech.com,96950.294073,4,3,101,2268,101,236,0.35379,0.082622,0.127021,0.754876,4316428,7626752,7489
85,http://www.icesindia.com,96950.515008,7,3,1,34849,9,5,0.012519,0.003923,0,0.09683,2016204,4608000,2144
86,https://klinjuryattorneys.com,96951.613118,11,15,827,37888,122,344,0.121725,0.311217,0.769654,1.867333,21896612,38936576,5602
87,http://hilleyconstruction.com,96951.95315,5,3,9,2101,19,21,0.014802,0.008925,0.024817,0.102501,2223540,3956736,5635
88,https://leetrainingservices.com,96952.485698,3,1,0,22697,7,1,0.012935,0.00314,0.000257,0.065665,1945176,3297280,1750
89,https://www.tyrematics.com.au,96953.469921,3,1,0,1980,11,1,0.004259,0.000597,0,0.033327,1292896,3035136,2607
90,https://www.kangenwaterlondon.co.uk,96956.574876,12,10,1906,126434,145,197,0.174053,0.11273,0.676905,1.627961,33853896,46239744,9318
91,https://www.magicalmomentsphotography.co.uk,96957.10754,1,1,371,8384,16,14,0.014637,0.011428,0.307657,0.745706,26667820,47538176,3390
92,https://www.whittlesey-osteopaths.com,96957.909515,6,2,68,4417,20,58,0.018094,0.019687,0.052102,0.170072,3599420,8675328,2695
93,https://www.lesminipouces.fr,96958.333145,3,1,26,13155,28,28,0.032276,0.013893,0.033229,0.156784,3301028,6053888,3658
94,http://vikingboatworks.com,96958.523477,4,1,12,3052,14,10,0.012164,0.008715,0.027871,0.097053,2121088,4218880,4147
95,https://www.vanlocks.co.uk,96959.570681,1,2,641,26885,59,250,0.078628,0.130737,0.351266,0.990856,10326700,16203776,10137
96,http://www.b2btechno.net,96960.516565,3,1,25,6198,8,7,0.005438,0.003247,0.022112,0.084513,2379608,4481024,3173
97,https://www.creative4you.com.pt,96961.866135,4,1,139,4377,26,59,0.029412,0.012332,0.076015,0.198574,6976956,11423744,3346
