id,url,title,PTime(sec),TTime(sec)
79,https://www.sakeco.ch,Homepage | localhost,11.184,11.234246
67,https://www.angelabrowne.co.uk,,30.026,30.069563
83,http://www.thecompguynj.com,,2.06,2.105077
84,http://www.tallerurbanomarbella.com,SUZUKI MARBELLA TALLER URBANO- Servicio Oficial Suzuki IbÃ©rica,3.265,3.319309
85,https://www.freshsmiles.ca,Dental Hygienist | Fresh Smiles | Etobicoke,2.62,2.68489
87,http://permare.net,Per Mare – Chiama (+39) 3341583239,3.822,3.889008
86,http://zulukvillagehomestay.in,The best homestay of Zuluk at Sikkim,5.56,5.618483
88,https://www.localmeets.co.uk,localmeets.co.uk | Find Local Singles For Fun and Dating,4.47,4.51776
90,https://www.la-maison-eliott.fr,LA MAISON D'ELIOTT - Site internet de La Maison d'Eliott,4.132,4.180012
91,https://www.ajs-shop.co.uk,AJS Shop Home,3.641,3.687438
95,https://www.mipaisexpress.com,,1.046,1.101394
93,https://www.wyevalleyrecruitment.com,Home - Wye Valley Recruitment,4.444,4.493414
94,http://www.sessellust.de,Sessellust - Homepage,2.738,2.784351
92,https://kentpaintball.co.uk,Paintball Tunbridge Wells - Kent Paintball,6.603,6.652072
96,http://www.curry-basmati-house.de,Indisches Restaurant in Köln,3.009,3.053611
99,https://www.agespotremoval.co.uk,,3.579,3.621487
89,https://rrequestriancenter.com,Home ⋆ R&R Equestrian Center,26.083,26.148866
100,http://researchiscool.com,Research jobs & academic social networking worldwide,6.712,6.77065
69,http://www.wenikengenharia.com.br,,60.012,60.068275
103,http://www.jlcwest.com,,3.02,3.07438
97,https://www.soelia.it,Soelia SpA |,17.301,17.343256
102,https://www.theburgerlab.co.uk,The BURGER LAB,4.933,5.005548
105,http://www.rishabcommerce.com,RCC Educational Group of Institution,3.77,3.821653
104,https://www.valoro.pl,Valoro sp. z o.o. - Partnerstwo w inwestycjach,6.409,6.480341
108,https://reliablepod.com,Reliable Print On Demand,3.494,3.546796
77,https://www.hamiltonsbar.co.uk,,60.012,60.059003
107,https://www.growupmarketing.com.ar,GROWUP - Marketing & Diseño,7.424,7.46892
98,https://www.newcastlekaraoke.co.uk,,30.014,30.058393
110,https://www.richardsonpodiatry.co.uk,Podiatry Services | Richardson Podiatry,2.704,2.751012
82,http://www.jjtaxiskirkcaldy.co.uk,,60.018,60.155921
113,https://klinjuryattorneys.com,"KL Personal Injury Lawyers serving Boca Raton, Vero Beach & Fort Myers",4.528,4.577872
115,http://hilleyconstruction.com,,3.026,3.079828
114,https://www.kangenwaterlondon.co.uk,"People everywhere are discovering the life-changing power of Kangen Water® | K. W. Nation, LLC. • Binstead, Hampshire United Kingdom",8.089,8.142181
116,http://www.icesindia.com,International Conference & Exhibition Services :: Index,1.53,1.582154
118,https://leetrainingservices.com,Lees Training Services,1.771,1.837743
119,https://www.tyrematics.com.au,Tyrematics - Taking the Pressure.,2.188,2.243241
117,https://www.vanlocks.co.uk,"Van Locks & Van Security Store UK | Van Deadlocks | Van Slamlocks | ArmaPlate | ArmaCat, Buy Online | Vanlocks.co.uk - Vanlocks.co.uk",6.345,6.409613
120,https://www.magicalmomentsphotography.co.uk,"Maternity, newborn, family & cakesmash magicalmomentsphotography.co.uk Thatcham, England, photographer of maternity & newborn images",5.024,5.070958
122,https://www.whittlesey-osteopaths.com,"Whittlesey Osteopaths, Healthcare for the whole family",2.183,2.227123
121,https://www.reseaubec.com,,4.741,4.806606
123,https://www.lesminipouces.fr,Relais Assistantes Maternelles Les Mini-Pouces - Genas,4.43,4.483949
112,https://groodybros.com,,30.144,30.184857
101,http://www.cliqueetcroque.com,,60.011,60.052265
126,http://www.b2btechno.net,Accueil - B2B Techno - fr,3.502,3.556935
124,http://vikingboatworks.com,Home Page - Viking Boatworks-West Coast Florida's Premier Boat YardViking Boatworks--West Coast Florida's Premier Boat Yard,10.631,10.682446
128,http://www.milwaukeeelectric.com,"MilwaukeeELECTRIC.com is a strong, memorable brandable name. This domain could be yours!",2.874,2.928021
127,https://www.creative4you.com.pt,Início | Creative4You,9.702,9.745108
131,https://noin-noin.com,,0.198,0.244165
130,https://www.ing-gesellschaft-hh.de,Ingenieurgesellschaft H+H das Planungsbüro für Gebäudetechnik,2.263,2.31758
106,http://www.yorkshires.com,,60.011,60.057705
132,https://www.michalski-kraus.de,Zahnärzte Dres. Michalski-Paul & Kraus ♥ Wiesloch,2.152,2.20084
135,https://beginideas.com,Home | BeginIdeas,1.227,1.289513
134,https://web-stark.de,Stark im Web | Software + Design + Content von web-stark.de,3.349,3.39177
