S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,291231.371127,1,1,118,8137,17,19,0.012507,0.004081,0.039005,0.137989,5078304,15491072,3990
2,https://mondo.cl,291232.47095,4,1,45,5982,21,74,0.009265,0.006372,0.050048,0.128722,4336272,9199616,2390
3,https://www.rechtsanwalt-moellers.de,291232.697211,3,1,15,6459,17,20,0.007526,0.001774,0.022189,0.066892,2681120,4608000,4845
4,https://heilpraktiker-silke-wagner.de,291233.02439,3,1,140,13569,17,20,0.007646,0.005168,0.082895,0.149226,6774944,11034624,2971
5,http://www.csjlfz.com,291234.817096,4,1,161,21454,10,12,0.015601,0.006716,0.030772,0.144622,2046732,4345856,2742
6,https://hi-management.com,291235.828838,4,1,106,14872,17,23,0.023629,0.013022,0.081925,0.203683,7056896,11788288,3910
7,https://hospitalismaelroldan.gov.co,291236.030067,2,3,157,11264,48,90,0.019054,0.01308,0.202918,0.43172,8618292,19685376,6778
8,https://www.rayun.cl,291237.595639,2,3,221,13699,59,294,0.023308,0.02239,0.269826,0.520023,13279596,28352512,11206
9,https://freedomfabmt.com,291238.022426,4,1,264,19470,44,71,0.048164,0.032844,0.11251,0.368589,7457204,12337152,4791
10,https://woolfplumbing.com.au,291243.794562,5,6,397,10769,48,169,0.036467,0.017365,0.194896,0.55775,10936632,21291008,5060
11,https://www.tsv-simbach.de,291244.535574,4,1,183,36418,73,81,0.071395,0.0319,0.144606,0.526271,9491864,18272256,6231
12,https://www.tiddleschildcare.co.uk,291245.015646,6,1,111,16675,108,116,0.032022,0.013436,0.066822,0.315655,4402576,8970240,1434
13,https://hairlounge-lueneburg.de,291245.163045,4,1,102,3667,14,45,0.013504,0.004354,0.030509,0.184912,2336516,3956736,3065
14,https://safen.sk,291246.422131,2,3,208,46174,27,42,0.030693,0.0159,0.166887,0.554996,8646872,19861504,6085
15,https://www.autocaresalcaide.net,291246.574315,6,5,262,30774,271,302,0.062205,0.062886,0.194699,0.756507,5344704,9461760,4349
16,https://www.pflegeverbund-opf.de,291246.933627,4,1,470,20796,20,64,0.018599,0.019953,0.092511,0.400945,5566708,10510336,4569
17,https://www.yara.co.zm,291247.076907,1,2,444,257921,9,10,0.018793,0.013286,0.146223,0.837038,6440580,13418496,2082
18,https://www.teammania.de,291247.409232,4,1,102,10817,31,49,0.013045,0.006008,0.133293,0.399594,5656956,10510336,2287
19,http://shalomeuropa.de,291248.116044,4,3,47,12097,14,12,0.012075,0.005998,0.008726,0.101265,2865792,4870144,3034
20,http://www.mobilitas-physiotherapie.de,291249.221511,3,1,27,9709,10,11,0.014652,0.005773,0.036965,0.118119,2839308,4620288,3357
21,https://www.tennisclub-weiler.de,291250.354214,7,1,140,13939,49,122,0.028081,0.022919,0.141611,0.522638,7995660,11681792,4799
22,https://www.gs-wallertheim.de,291251.431,4,1,209,7287,24,26,0.013434,0.008164,0.115464,0.224047,8587364,12922880,3707
23,http://www.csk-guidelineari.com,291252.218889,7,3,300,5555,8,9,0.002489,0.001863,0.15281,0.235021,11749884,19161088,5112
24,https://www.woond.nl,291252.402164,5,1,52,5304,20,41,0.00691,0.004375,0.070654,0.143706,5654140,9723904,4023
25,https://www.via4spine.de,291254.75408,4,1,157,33062,19,33,0.014489,0.006521,0.033844,0.135464,4261416,8839168,3075
26,http://www.cheproeng.com,291255.003717,3,1,199,8978,163,239,0.028911,0.013944,0.12542,0.261594,5444736,9723904,5379
27,http://www.cruiseoptionsonline.com,291255.122591,3,1,33,417,5,4,0.002193,0.000401,0.000577,0.029991,1276224,3297280,5395
28,https://www.architektura-bielsko.pl,291255.250069,3,1,2,1668,5,1,0.003231,0.000716,0.026243,0.062502,1775152,3694592,4318
29,http://www.gabdesigns.co.uk,291256.55529,3,1,0,2694,10,6,0.01003,0.00213,0.000731,0.046104,1313496,3035136,3995
30,http://www.grundschule-zum-obersten-holz.de,291257.389993,3,1,14,5971,17,21,0.008401,0.002136,0.019977,0.075269,2756856,4743168,4965
31,https://www.mmkn.org,291259.220652,1,1,281,22367,357,561,0.068445,0.02269,0.2774,0.545241,14295296,23576576,2380
32,https://www.codeunique.de,291263.176445,3,1,54,17114,9,52,0.008816,0.003273,0.020631,0.104066,1864944,4345856,7692
33,https://mindfulnesseveryday.org,291263.959037,3,1,145,19838,22,46,0.039231,0.019659,0.086119,0.339138,6405944,12263424,3900
34,https://www.getriebenotdienst.de,291265.647999,1,1,1284,60893,140,149,0.070638,0.022075,0.049083,0.453764,4047488,9551872,3991
35,https://www.sv-naturstein.de,291265.865487,3,1,24,5917,174,226,0.027609,0.017026,0.043621,0.18339,3008508,4481024,5475
36,https://wolksoftcr.com,291266.626035,13,19,588,48119,32,64,0.036071,0.044562,0.369556,0.870321,15993624,33030144,7502
37,https://www.la-choue.com,291271.601197,2,3,495,37007,67,184,0.037006,0.020366,0.175027,0.551021,6028388,16015360,7247
38,https://www.dinnede-manufaktur.eu,291272.020974,3,1,20,15098,20,25,0.020364,0.004546,0.030873,0.115168,3684376,5005312,3913
39,http://www.lazyriveroutpost.com,291272.19467,8,6,51,7401,35,328,0.008934,0.023308,0.064736,0.270234,4388012,5529600,4211
40,https://www.xn--colosseum-rheinbllen-jbc.de,291272.970783,9,4,294,29271,31,38,0.017551,0.010343,0.081036,0.218402,5976676,11296768,6956
41,https://dieschreyers.com,291273.692908,4,1,44,13393,27,33,0.009442,0.006831,0.049451,0.146707,4810584,7725056,6261
42,https://www.bunert.de,291276.497133,7,7,574,33250,52,65,0.028958,0.018448,0.253585,0.731445,8736572,18636800,7089
43,https://escapethis.place,291276.884994,5,4,14,7153,10,8,0.016531,0.005453,0.082019,0.18662,5486224,9461760,4397
44,http://koniksport.pl,291277.363664,1,1,159,36201,55,177,0.029373,0.017496,0.137169,0.448096,7312968,18112512,4802
45,https://www.kampasa.fr,291277.883167,1,2,359,27006,21,24,0.034873,0.025387,0.178391,0.888055,15431456,25329664,41576
46,https://www.murphys-tattoo.de,291278.037605,4,1,24,3272,16,18,0.004245,0.003949,0.099732,0.171261,5164704,9199616,3905
47,https://www.nppaa.net,291278.37609,3,1,21,1267,15,16,0.002281,0.00225,0.105915,0.150547,6961044,10866688,5944
48,https://www.thevintagehampercompany.uk,291279.885009,7,3,14,686,11,10,0.006968,0.001472,0.081935,0.139066,4636156,7364608,1593
49,https://www.leni-parkett.de,291280.081501,4,1,21,3992,8,9,0.010502,0.002247,0.011117,0.065436,1905444,3821568,2413
50,https://tyremanmc.com.au,291282.103895,2,5,180,26447,47,63,0.036693,0.012615,0.339884,0.619075,13294844,30785536,4217
51,https://www.boersenblatt.net,291283.933286,7,4,6921,404937,151,1265,0.209602,0.122308,0.420606,2.658453,13865668,34103296,7291
52,https://dkcare247.co.uk,291285.05533,4,1,82,31985,24,56,0.014381,0.012082,0.068598,0.211393,6778556,11239424,2147
53,http://www.xn--mhrke-gastrotechnik-q6b.de,291285.157964,3,1,0,623,5,4,0.002796,0.000523,0,0.032724,1249264,3297280,3760
54,https://www.ariesdogland.com,291285.50064,1,4,267,63945,23,24,0.032266,0.024968,0.169202,0.913943,10332616,29122560,5152
55,https://www.drbaby2th.com,291287.856602,6,6,201,1313,44,84,0.027639,0.01099,0.177301,0.378593,7157016,12869632,4492
56,http://www.gjcargo.com,291289.462367,4,1,71,10905,19,42,0.016768,0.007566,0.050236,0.141865,4081092,8937472,3655
57,http://www.bmtinc.us,291289.684887,4,3,63,2590,7,8,0.004249,0.00178,0.040606,0.287513,3637468,5529600,5530
58,https://campinggranby.com,291290.143262,1,1,135,25324,108,221,0.034288,0.028846,0.293927,0.846682,7783944,13918208,7171
59,https://www.logistaparcel.com,291290.580679,4,3,131,27523,20,35,0.017566,0.005288,0.105103,0.252156,5784032,11034624,4535
60,http://www.cskonferencia.sk,291292.549736,158,77,257,30688,22,26,0.018958,0.010927,0.085417,0.344644,6974600,12013568,6228
61,http://www.nazionale.net,291292.69617,8,6,35,1274,18,21,0.007857,0.002038,0.085751,0.14867,5501476,9723904,7596
62,https://www.henderson-engineers.co.uk,291292.987227,4,1,36,6397,16,17,0.015016,0.010864,0.020513,0.1199,3204596,6754304,1913
63,https://praxisgemeinschaft-am-ringelberg.de,291293.232583,2,1,51,6862,18,35,0.015936,0.005665,0.13286,0.277545,5142212,15753216,2990
64,https://www.cslmgmt.com,291293.377909,8,5,25,543,14,16,0.00362,0.00193,0.086353,0.143747,4946696,7364608,3468
65,http://www.cellcost.pk,291294.210313,3,1,116,10176,14,30,0.009702,0.004331,0.124464,0.201268,5148444,10510336,3152
66,https://www.cslmha.com,291301.237592,3,12,303,2471,43,77,0.018313,0.013214,0.424116,0.693029,15061120,25714688,6257
67,https://www.cskimkaratefortwayne.com,291301.768182,2,2,46,13962,19,16,0.059616,0.021361,0.06507,0.391247,4580448,7626752,7941
