Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-03 13:45:36,1536.0,20.12,1515.88,1.31
2024-10-03 13:45:36,1536.0,20.12,1515.88,1.31
2024-10-03 13:45:37,1536.0,20.12,1515.88,1.31
2024-10-03 13:45:37,1536.0,20.12,1515.88,1.31
2024-10-03 13:45:38,1536.0,26.09,1509.91,1.7
2024-10-03 13:45:38,1536.0,26.09,1509.91,1.7
2024-10-03 13:45:39,1536.0,31.94,1504.06,2.08
2024-10-03 13:45:39,1536.0,31.94,1504.06,2.08
2024-10-03 13:45:40,1536.0,37.79,1498.21,2.46
2024-10-03 13:45:40,1536.0,37.79,1498.21,2.46
2024-10-03 13:45:41,1536.0,46.96,1489.04,3.06
2024-10-03 13:45:41,1536.0,45.5,1490.5,2.96
2024-10-03 13:45:42,1536.0,58.63,1477.37,3.82
2024-10-03 13:45:42,1536.0,79.38,1456.62,5.17
2024-10-03 13:45:43,1536.0,97.74,1438.26,6.36
2024-10-03 13:45:43,1536.0,129.79,1406.21,8.45
2024-10-03 13:45:44,1536.0,138.16,1397.84,8.99
2024-10-03 13:45:44,1536.0,222.19,1313.81,14.47
2024-10-03 13:45:45,1536.0,136.21,1399.79,8.87
2024-10-03 13:45:45,1536.0,143.44,1392.56,9.34
2024-10-03 13:45:46,1536.0,124.35,1411.65,8.1
2024-10-03 13:45:46,1536.0,220.95,1315.05,14.38
2024-10-03 13:45:47,1536.0,296.21,1239.79,19.28
2024-10-03 13:45:47,1536.0,298.84,1237.16,19.46
2024-10-03 13:45:48,1536.0,304.65,1231.35,19.83
2024-10-03 13:45:48,1536.0,362.78,1173.22,23.62
2024-10-03 13:45:49,1536.0,244.79,1291.21,15.94
2024-10-03 13:45:49,1536.0,251.32,1284.68,16.36
2024-10-03 13:45:50,1536.0,367.61,1168.39,23.93
2024-10-03 13:45:50,1536.0,319.05,1216.95,20.77
2024-10-03 13:45:51,1536.0,232.89,1303.11,15.16
2024-10-03 13:45:51,1536.0,416.91,1119.09,27.14
2024-10-03 13:45:52,1536.0,356.66,1179.34,23.22
2024-10-03 13:45:52,1536.0,267.18,1268.82,17.39
2024-10-03 13:45:53,1536.0,572.38,963.62,37.26
2024-10-03 13:45:53,1536.0,606.55,929.45,39.49
2024-10-03 13:45:54,1536.0,631.36,904.64,41.1
2024-10-03 13:45:54,1536.0,717.25,818.75,46.7
2024-10-03 13:45:55,1536.0,709.35,826.65,46.18
2024-10-03 13:45:55,1536.0,780.4,755.6,50.81
2024-10-03 13:45:56,1536.0,634.33,901.67,41.3
2024-10-03 13:45:56,1536.0,607.83,928.17,39.57
2024-10-03 13:45:57,1536.0,608.87,927.13,39.64
2024-10-03 13:45:57,1536.0,365.33,1170.67,23.78
2024-10-03 13:45:58,1536.0,381.13,1154.87,24.81
2024-10-03 13:45:58,1536.0,488.7,1047.3,31.82
2024-10-03 13:45:59,1536.0,214.23,1321.77,13.95
2024-10-03 13:45:59,1536.0,342.8,1193.2,22.32
