id,url,title,PTime(sec),TTime(sec)
84,http://www.tallerurbanomarbella.com,SUZUKI MARBELLA TALLER URBANO- Servicio Oficial Suzuki IbÃ©rica,4.141,4.190327
61,http://www.leanderson.com.br,,60.014,60.066957
86,http://zulukvillagehomestay.in,The best homestay of Zuluk at Sikkim,5.269,5.312388
87,http://permare.net,Per Mare – Chiama (+39) 3341583239,3.826,3.872894
90,https://www.la-maison-eliott.fr,LA MAISON D'ELIOTT - Site internet de La Maison d'Eliott,2.974,3.027465
88,https://www.localmeets.co.uk,localmeets.co.uk | Find Local Singles For Fun and Dating,5.304,5.350995
91,https://www.ajs-shop.co.uk,AJS Shop Home,3.117,3.168595
95,https://www.mipaisexpress.com,,1.468,1.520325
94,http://www.sessellust.de,Sessellust - Homepage,3.093,3.141088
92,https://kentpaintball.co.uk,Paintball Tunbridge Wells - Kent Paintball,6.304,6.348025
93,https://www.wyevalleyrecruitment.com,Home - Wye Valley Recruitment,5.469,5.519414
96,http://www.curry-basmati-house.de,Indisches Restaurant in Köln,2.963,3.005969
69,http://www.wenikengenharia.com.br,,60.013,60.058763
99,https://www.agespotremoval.co.uk,,3.073,3.123415
97,https://www.soelia.it,Soelia SpA |,7.468,7.519696
100,http://researchiscool.com,Research jobs & academic social networking worldwide,4.345,4.399837
103,http://www.jlcwest.com,加拿大28-预测网|加拿大预测|PC28预测|专注研究走势结果查询网站！,2.83,2.873014
102,https://www.theburgerlab.co.uk,The BURGER LAB,4.752,4.796617
104,https://www.valoro.pl,Valoro sp. z o.o. - Partnerstwo w inwestycjach,5.29,5.337372
105,http://www.rishabcommerce.com,RCC Educational Group of Institution,4.028,4.071192
108,https://reliablepod.com,Reliable Print On Demand,3.28,3.324431
89,https://rrequestriancenter.com,Home ⋆ R&R Equestrian Center,39.697,39.745881
77,https://www.hamiltonsbar.co.uk,,60.01,60.053588
110,https://www.richardsonpodiatry.co.uk,Podiatry Services | Richardson Podiatry,2.619,2.669296
107,https://www.growupmarketing.com.ar,GROWUP - Marketing & Diseño,9.528,9.572262
98,https://www.newcastlekaraoke.co.uk,,30.017,30.063393
109,http://www.warrtech.com.au,warrtech,6.962,7.012302
82,http://www.jjtaxiskirkcaldy.co.uk,,60.016,60.062184
113,https://klinjuryattorneys.com,"KL Personal Injury Lawyers serving Boca Raton, Vero Beach & Fort Myers",5.252,5.293119
115,http://hilleyconstruction.com,Sample Page - Hilley Construction,6.119,6.179099
116,http://www.icesindia.com,International Conference & Exhibition Services :: Index,1.685,1.739984
114,https://www.kangenwaterlondon.co.uk,"People everywhere are discovering the life-changing power of Kangen Water® | K. W. Nation, LLC. • Binstead, Hampshire United Kingdom",9.296,9.338571
118,https://leetrainingservices.com,Lees Training Services,1.893,1.933992
119,https://www.tyrematics.com.au,Tyrematics - Taking the Pressure.,3.437,3.484435
117,https://www.vanlocks.co.uk,"Van Locks & Van Security Store UK | Van Deadlocks | Van Slamlocks | ArmaPlate | ArmaCat, Buy Online | Vanlocks.co.uk - Vanlocks.co.uk",7.02,7.063176
120,https://www.magicalmomentsphotography.co.uk,"Maternity, newborn, family & cakesmash magicalmomentsphotography.co.uk Thatcham, England, photographer of maternity & newborn images",2.575,2.620662
121,https://www.reseaubec.com,,1.445,1.509014
122,https://www.whittlesey-osteopaths.com,"Whittlesey Osteopaths, Healthcare for the whole family",2.172,2.226327
123,https://www.lesminipouces.fr,Relais Assistantes Maternelles Les Mini-Pouces - Genas,4.009,4.062785
126,http://www.b2btechno.net,Accueil - B2B Techno - fr,4.047,4.099303
127,https://www.creative4you.com.pt,Início | Creative4You,5.934,5.991889
112,https://groodybros.com,,30.332,30.381165
128,http://www.milwaukeeelectric.com,"MilwaukeeELECTRIC.com is a strong, memorable brandable name. This domain could be yours!",3.177,3.225946
125,https://www.music-shop-polzow.de,"DER-GITARREN-DOKTOR Musikinstrumente & Beschallung bei Pasewalk - Musikshop, Musikinstrumente bestellen, Beschallung, Saiteninstrumente, Tasteninstrumente, Blasinstrumente, Drums-u. Percussion",11.204,11.256046
101,http://www.cliqueetcroque.com,,60.01,60.064184
131,https://noin-noin.com,,0.252,0.30406
130,https://www.ing-gesellschaft-hh.de,Ingenieurgesellschaft H+H das Planungsbüro für Gebäudetechnik,2.698,2.745308
129,https://www.goodsamaritanepiscopal.church,Home,4.213,4.271359
132,https://www.michalski-kraus.de,Zahnärzte Dres. Michalski-Paul & Kraus ♥ Wiesloch,2.689,2.732302
134,https://web-stark.de,Stark im Web | Software + Design + Content von web-stark.de,3.09,3.131087
135,https://beginideas.com,Home | BeginIdeas,1.95,1.994429
136,http://www.astorplumbingandheating.info,Astor Plumbing and Heating for your home and business plumbing needs,3.071,3.120243
106,http://www.yorkshires.com,,60.016,60.058999
133,https://ngbygg.nu,Niclas Gustavsson Bygg & Snickeri AB | Yxlan Stockholm Norrtälje 556780-5303,6.796,6.850337
139,http://mergedesignstudio.com,,1.939,1.988823
137,https://www.internaatvlaamseardennen.be,Internaat Ronse | Internaat Vlaamse Ardennen,5.388,5.448154
138,https://www.farwellsfinejewelry.com,Farwell's Fine Jewelry - Home,3.211,3.272825
140,https://samanthashakiraclarke.com,Corporate & Personal Wellness Consultant | SSC,2.257,2.309469
141,https://www.ossia.org,Home Page,4.52,4.575092
142,https://www.tmod.co.uk,Safe Driving Lessons Colchester. High Passing Rates!,6.701,6.762689
144,https://www.kfo-bastin.de,Praxis für Kieferorthopädie Walsrode Dr. Sandra Bastin,6.688,6.741462
145,https://www.designadvisoryservice.co.uk,"Architecture Design Advice Cheltenham, Gloucestershire",5.034,5.10491
111,http://www.metrodriltech.com,,60.018,60.062065
150,https://tailoredkneads.com,Licensed Massage Therapist - Tailored Kneads,1.79,1.844765
149,https://www.bricskorea.com,Brics Korea Co. Ltd.,2.923,2.972913
143,https://manhattantomanagua.com,MANHATTAN TO MANAGUA - Home,12.757,12.822224
153,https://ledartworks.com,,0.189,0.238725
151,https://didrih.com,Доставка еды в офис в Одессе. Заказ еды на дом. Комплексные обеды и бизнес-ланчи с доставкой | Горячий Дидрих,3.223,3.282326
147,http://www.nuyoulabs.com,nuYou Labs - Natural Weightloss Science,10.944,11.00336
148,https://www.jimclickjeep.com,Tucson Jeep Dealer in Tucson AZ | Marana Oro Valley Sierra Vista Jeep Dealership Arizona,8.367,8.411209
152,https://www.bradglen.co.uk,"Brad Glen Voices - Voiceover & voice acting - Brighton, UK",3.24,3.289093
146,https://www.globofiat.com.br,Home,15.81,15.863816
154,https://neurosurgery.xyz,,2.906,2.954249
155,https://bananalimited.com,,2.228,2.275246
158,https://www.autopflege-potsdam.eu,Autopflege Potsdam – Professionelle Autopflege,3.449,3.494101
156,https://bpec.pl,Strona główna - Brzeskie Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,7.57,7.619024
157,https://www.sagradocorazon.net.ar,Sagrado Corazón | Sanatorio de Alta Complejidad,8.389,8.439671
160,https://www.urgeschichte-zug.ch,Home | Museum für Urgeschichte(n),5.607,5.649377
124,http://vikingboatworks.com,,60.015,60.06942
159,http://fachonet.com,,60.04,60.081935
