id,url,title,RTime,PTime(sec),TTime(sec)
7,https://www.midiforkids.com,,0,0.402,0.46433
3,http://www.ecan.be,Collège Abbé Noël – Un tremplin pour la vie,4522,5.678,5.724977
4,http://www.altreetz-online.de,Altreetz und Umgebung: Home,4640,5.015,5.060231
5,https://www.rechtsanwalt-moellers.de,Rechtsanwalt Möllers - Startseite,3640,4.271,4.3183
8,https://mondo.cl,Officio Mondo,3994,4.679,4.737658
9,https://heilpraktiker-silke-wagner.de,Aktuelles,3367,4.647,5.447471
2,https://www.rayun.cl,Rayün Montessori – Sala Cuna y Jardín Infantil – Sala Cuna y Jardín Infantil,10117,11.986,12.032965
1,http://www.csjfilter.com,"Yingkou Chuangshiji Filter Materials Co., Ltd",12346,13.7,13.764992
15,https://avediscorp.com,,3572,3.63,3.699396
13,https://woolfplumbing.com.au,Woolf Plumbing & Gas: The Plumbing & Gas Expert in Perth,4032,6.535,6.594854
10,http://www.csjlfz.com,"Dress, Jacket, Long Sleeve | China Manufacturer Changshu Jieliang Knitting Co., Ltd.",4594,8.141,8.235029
11,https://hi-management.com,Home - H•I Management,4881,8.705,8.832643
6,https://hospitalismaelroldan.gov.co,Hospital Ismael Roldán Valencia |,8708,12.198,12.242531
12,https://freedomfabmt.com,"Freedom Fabrication | Excavation, Landscaping, Concrete, Snow Removal Services | Montana",6708,10.011,10.088104
14,https://www.tsv-simbach.de,TSV Simbach a. Inn |,7676,10.327,10.396049
16,https://safen.sk,SAFEN | Komplexné služby BOZP a OPP,5567,7.749,7.837702
21,https://www.tiddleschildcare.co.uk,Tiddles Childcare – An outstanding childcare provider,3296,5.027,5.127634
18,https://www.autocaresalcaide.net,Autocares Alcaide,5517,7.416,7.49558
19,https://www.pflegeverbund-opf.de,Ambulante Pflege | Waidhaus | Ambulanter Pflegeverbund,4505,6.814,6.984932
20,https://hairlounge-lueneburg.de,Ihr Friseursalon in Lüneburg | Hairlounge by Sandra Ritter,5175,7.066,7.232584
23,https://www.teammania.de,Team Mania - SPIELBASIERTES LERNEN & CORPORATE ESCAPE GAMES,2933,5.745,5.82618
17,https://www.kampasa.fr,Marie Durand,7151,10.572,10.646654
22,https://www.yara.co.zm,Yara Zambia,3281,6.88,7.022328
25,http://www.mobilitas-physiotherapie.de,Physiotherapie & Osteopathie für Hunde & Katzen,3565,4.911,4.991363
27,http://www.schmidt-umzuege-trier.de,,0,3.247,3.308296
24,http://shalomeuropa.de,Startseite,6512,6.71,6.809927
30,http://www.elevake.eu,,3986,4.009,4.073159
28,https://www.gs-wallertheim.de,GS Wallertheim,4862,6.054,6.111166
26,https://www.tennisclub-weiler.de,Tennisclub Weiler – Tennis spielen in Weiler im Allgäu,5955,7.462,7.548313
29,http://www.csk-guidelineari.com,Plesk Obsidian 18.0.63,5402,6.023,6.084142
32,https://www.woond.nl,WOOND Ulft - Expert in bekleden of renoveren van uw trap of vloer,3612,4.587,4.648209
33,https://www.via4spine.de,Wirbelsäulenchirurgie - Via 4 Spine Wirbelsäulenchirurgie,3901,4.845,4.901181
41,http://www.csjmpw.com,,0,0.364,0.438677
34,http://www.cruiseoptionsonline.com,Index of /,3791,4.384,4.515456
35,https://www.architektura-bielsko.pl,"Biuro architektoniczne w Bielsku : Tomasz Köhler : architekt bielsko, architekt bielsko-biała, architekt śląsk",3792,4.552,4.6767
45,http://www.terayne.com,,0,0.115,0.182511
37,http://www.grundschule-zum-obersten-holz.de,Grundschule zum Obersten Holz - Startseite,3822,4.07,4.15591
38,http://www.gabdesigns.co.uk,,0,3.055,3.121241
39,https://www.mmkn.org,MMKN,3311,3.935,4.122046
44,https://www.getriebenotdienst.de,Getriebereparatur | Ihr Fachmann für Getriebe,4112,5.267,5.491846
46,https://www.sv-naturstein.de,Startseite | SV Naturstein - Inhaber Stefan Vepschek,4251,5.743,5.808806
42,https://mindfulnesseveryday.org,Mindfulness Everyday | Mindfulness Everyday,4606,6.968,7.283699
48,https://www.dinnede-manufaktur.eu,DINNEDE MANUFAKTUR - FELDBÄCKEREY | FLEISCHBRÄTEREY | WURSTBRÄTEREY,4483,6.197,6.268048
40,https://hogarprestige.com,"Hogar Prestige ""Vive Tus Sueños""",7965,9.091,9.164856
47,https://www.la-choue.com,Accueil - Brasserie de Vauclair - La Choue,5577,7.853,7.915108
43,https://wolksoftcr.com,Wolksoft | Soluciones Tecnológicas a la Medida,8079,10.569,10.906726
51,https://www.xn--colosseum-rheinbllen-jbc.de,Hotel Ristorante Colosseum - Startseite,4897,5.594,5.663389
49,http://www.lazyriveroutpost.com,"Delaware River Tubing, Rafting, Canoe & Kayak Rentals | Lazy River Outpost",10016,10.716,10.78811
55,https://escapethis.place,Escape This Place - Escape Game Rooms in KC,3716,5.508,5.574456
53,https://dieschreyers.com,Backwelt & Konditorei Schreyer,5216,8.338,8.403665
52,https://www.bunert.de,bunert Onlineshop,6569,10.206,10.283888
54,http://koniksport.pl,Sklep rowerowy Szczecin - Konik Sport,6609,10.537,10.620825
57,https://www.murphys-tattoo.de,Startseite - Murphy´s Tattoo Studio,5459,7.273,7.356956
50,http://www.praxis-kirchmeyer.de,Praxis Dr. Markus & Dr. Michael Kirchmeyer in Gelsenkirchen - Startseite,11781,14.268,14.359391
56,https://www.nppaa.net,Blank Title - Home,9003,9.211,9.350407
61,https://www.leni-parkett.de,Beratung-Verkauf-Verlegung | LENI-PARKETT in Kassel,3383,4.45,4.551861
62,https://www.thevintagehampercompany.uk,,2987,3.282,3.377448
59,https://tyremanmc.com.au,Shop Motorcycle Tyres Online in Australia | Tyreman M/C,6913,8.123,8.195618
60,https://www.ariesdogland.com,Arie's Dogland | Albuquerque Puppy Headquarters,5587,7.543,7.631563
69,https://www.caltrailblazers.com,,0,0.975,1.123174
65,https://dkcare247.co.uk,DK Care 24/7 – Quality Staffing Solutions,3671,4.831,4.900452
64,http://www.xn--mhrke-gastrotechnik-q6b.de,Möhrke Service GbR,3960,5.243,5.36797
58,https://www.boersenblatt.net,News und Service für Buchhandel und Verlage | Börsenblatt,9130,14.046,14.186398
63,https://www.drbaby2th.com,"Pediatric Dentist Meridian, ID | Joel Whitt | Meridian, ID Pediatric Dentist | Pediatric Dentist 83646",5680,9.43,9.545238
66,http://www.gjcargo.com,"GJ Cargo | Your Cargo Company in Miami, FL. Call us today for your cargo needs.",4099,7.211,7.30275
36,https://www.codeunique.de,Willkommen - CODE UNIQUE Architekten,30077,33.605,33.682919
68,http://www.bmtinc.us,Bob's Moraine Trucking,6751,7.352,7.432631
