id,url,title,RTime,PTime(sec),TTime(sec)
4,http://www.altreetz-online.de,,0,3.049,3.096574
7,https://www.midiforkids.com,,0,0.137,0.187989
3,http://www.ecan.be,Collège Abbé Noël – Un tremplin pour la vie,5111,6.143,6.19925
10,http://www.csjlfz.com,"Dress, Jacket, Long Sleeve | China Manufacturer Changshu Jieliang Knitting Co., Ltd.",3107,3.886,3.933738
1,http://www.csjfilter.com,"Yingkou Chuangshiji Filter Materials Co., Ltd",10823,11.844,11.911585
13,https://woolfplumbing.com.au,Woolf Plumbing & Gas: The Plumbing & Gas Expert in Perth,1843,3.991,4.070543
8,https://mondo.cl,Officio Mondo,6871,7.422,7.486651
2,https://www.rayun.cl,Rayün Montessori – Sala Cuna y Jardín Infantil – Sala Cuna y Jardín Infantil,11982,13.027,13.07847
11,https://hi-management.com,Home - H•I Management,4763,6.579,6.844662
5,https://www.rechtsanwalt-moellers.de,Rechtsanwalt Möllers - Startseite,9518,11.048,11.100564
15,https://avediscorp.com,,3477,3.501,3.595895
6,https://hospitalismaelroldan.gov.co,Hospital Ismael Roldán Valencia |,10029,10.459,10.515823
12,https://freedomfabmt.com,"Freedom Fabrication | Excavation, Landscaping, Concrete, Snow Removal Services | Montana",6940,9.435,9.517485
18,https://www.autocaresalcaide.net,Autocares Alcaide,3748,4.006,4.075252
20,https://hairlounge-lueneburg.de,Ihr Friseursalon in Lüneburg | Hairlounge by Sandra Ritter,3260,3.543,3.619129
21,https://www.tiddleschildcare.co.uk,Tiddles Childcare – An outstanding childcare provider,3100,3.974,4.073482
16,https://safen.sk,SAFEN | Komplexné služby BOZP a OPP,5606,7.28,7.365276
17,https://www.kampasa.fr,Marie Durand,5059,7.326,7.387412
23,https://www.teammania.de,Team Mania - SPIELBASIERTES LERNEN & CORPORATE ESCAPE GAMES,1825,4.056,4.136265
22,https://www.yara.co.zm,Yara Zambia,3956,6.426,6.517427
9,https://heilpraktiker-silke-wagner.de,Aktuelles,15908,16.95,17.007365
25,http://www.mobilitas-physiotherapie.de,Physiotherapie & Osteopathie für Hunde & Katzen,4339,4.855,4.960602
30,http://www.elevake.eu,,2741,2.785,2.868044
14,https://www.tsv-simbach.de,TSV Simbach a. Inn |,12558,13.815,13.980071
19,https://www.pflegeverbund-opf.de,Ambulante Pflege | Waidhaus | Ambulanter Pflegeverbund,8548,10.587,10.886608
24,http://shalomeuropa.de,Startseite,6643,8.156,8.212912
26,https://www.tennisclub-weiler.de,Tennisclub Weiler – Tennis spielen in Weiler im Allgäu,6047,7.207,7.27538
27,http://www.schmidt-umzuege-trier.de,Schmidt Umzüge Trier - Schmidt Umzuege: Mit Vertrauen umziehen!,5823,6.877,6.950001
