S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,444680.342214,5,5,118,15064,21,23,0.054371,0.048018,0.056154,0.315495,7146132,16748544,5111
2,http://www.csjlfz.com,444683.059237,7,3,159,20987,16,11,0.047506,0.045249,0.024526,0.295983,2706788,4763648,3107
3,http://www.csjfilter.com,444684.077832,3,1,32,3792,37,95,0.062741,0.041965,0.039318,0.372716,2439016,3956736,10823
4,https://woolfplumbing.com.au,444685.22303,2,3,366,8526,37,115,0.063787,0.053118,0.286411,0.694829,8039060,11821056,1843
5,https://mondo.cl,444685.739926,4,1,67,5194,29,50,0.022191,0.030142,0.098771,0.294495,4371224,6840320,6871
6,https://www.rayun.cl,444686.249681,3,4,221,12954,57,217,0.050154,0.091957,0.331651,0.821664,11209928,20361216,11982
7,https://hi-management.com,444687.001128,4,1,107,15160,155,166,0.09837,0.077543,0.173723,0.680381,8141024,12574720,4763
8,https://www.rechtsanwalt-moellers.de,444687.277168,3,1,15,6161,20,23,0.009927,0.006163,0.024709,0.11227,2703028,4608000,9518
9,https://hospitalismaelroldan.gov.co,444687.674684,35,19,354,22578,65,111,0.112053,0.061478,0.287863,0.899576,14038568,21135360,10029
10,https://freedomfabmt.com,444689.84255,1,1,230,10669,56,90,0.069145,1.114382,0.157669,1.901749,4093808,14180352,6940
11,https://www.autocaresalcaide.net,444690.321318,12,7,250,24052,37,75,0.039942,0.046799,0.1318,0.507248,5640024,9875456,3748
12,https://hairlounge-lueneburg.de,444690.898389,4,1,102,3133,18,44,0.015467,0.011558,0.033681,0.160447,2195180,3956736,3260
13,https://www.tiddleschildcare.co.uk,444691.756303,10,3,110,14643,36,31,0.082958,0.042483,0.071753,0.534424,3383196,8708096,3100
14,https://safen.sk,444692.608724,4,4,178,32592,40,48,0.128739,0.160878,0.200295,0.946557,7140820,17408000,5606
15,https://www.kampasa.fr,444693.145929,1,2,356,34554,19,22,0.048606,0.030301,0.199714,1.046124,15781752,35553280,5059
16,https://www.teammania.de,444694.010551,8,3,102,10490,40,56,0.12501,0.014523,0.161782,0.550212,5008908,10772480,1825
17,https://www.yara.co.zm,444694.212462,4,5,451,241356,17,20,0.023874,0.041894,0.152169,0.885658,6396832,16584704,3956
18,https://heilpraktiker-silke-wagner.de,444695.349828,3,1,200,12145,47,42,0.070448,0.033639,0.144402,0.532833,7029360,8413184,15908
19,http://www.mobilitas-physiotherapie.de,444695.851887,3,1,27,9370,12,10,0.02357,0.016218,0.039555,0.193843,2822776,4620288,4339
20,https://www.tsv-simbach.de,444697.041885,2,2,170,18335,103,146,0.048341,0.057251,0.181859,0.580503,8186728,11718656,12558
21,https://www.pflegeverbund-opf.de,444697.889239,4,1,416,20368,27,66,0.056121,0.044775,0.155316,0.521916,5194592,6840320,8548
