Timestamp,Total Size (MB),Used Size (MB),Free Size (MB),Used Percentage (%)
2024-10-05 08:35:52,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:52,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:53,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:53,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:54,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:54,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:55,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:55,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:56,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:56,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:57,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:57,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:58,3584.0,14.74,3569.26,0.41
2024-10-05 08:35:58,3584.0,20.58,3563.42,0.57
2024-10-05 08:35:59,3584.0,24.59,3559.41,0.69
2024-10-05 08:35:59,3584.0,26.95,3557.05,0.75
2024-10-05 08:36:00,3584.0,31.07,3552.93,0.87
2024-10-05 08:36:00,3584.0,32.8,3551.2,0.92
2024-10-05 08:36:01,3584.0,34.8,3549.2,0.97
2024-10-05 08:36:01,3584.0,39.16,3544.84,1.09
2024-10-05 08:36:02,3584.0,44.46,3539.54,1.24
2024-10-05 08:36:02,3584.0,53.95,3530.05,1.51
2024-10-05 08:36:03,3584.0,75.27,3508.73,2.1
2024-10-05 08:36:03,3584.0,67.07,3516.93,1.87
2024-10-05 08:36:04,3584.0,104.73,3479.27,2.92
2024-10-05 08:36:04,3584.0,113.93,3470.07,3.18
2024-10-05 08:36:05,3584.0,116.02,3467.98,3.24
2024-10-05 08:36:05,3584.0,199.66,3384.34,5.57
2024-10-05 08:36:06,3584.0,165.41,3418.59,4.62
2024-10-05 08:36:06,3584.0,105.46,3478.54,2.94
2024-10-05 08:36:07,3584.0,127.49,3456.51,3.56
2024-10-05 08:36:07,3584.0,171.79,3412.21,4.79
2024-10-05 08:36:08,3584.0,254.72,3329.28,7.11
2024-10-05 08:36:08,3584.0,359.96,3224.04,10.04
2024-10-05 08:36:09,3584.0,309.02,3274.98,8.62
2024-10-05 08:36:09,3584.0,462.54,3121.46,12.91
2024-10-05 08:36:10,3584.0,367.78,3216.22,10.26
2024-10-05 08:36:10,3584.0,521.05,3062.95,14.54
2024-10-05 08:36:11,3584.0,485.86,3098.14,13.56
2024-10-05 08:36:11,3584.0,381.25,3202.75,10.64
2024-10-05 08:36:12,3584.0,321.85,3262.15,8.98
2024-10-05 08:36:12,3584.0,373.24,3210.76,10.41
2024-10-05 08:36:13,3584.0,275.71,3308.29,7.69
2024-10-05 08:36:13,3584.0,228.34,3355.66,6.37
2024-10-05 08:36:14,3584.0,210.36,3373.64,5.87
2024-10-05 08:36:14,3584.0,267.24,3316.76,7.46
2024-10-05 08:36:15,3584.0,447.89,3136.11,12.5
2024-10-05 08:36:15,3584.0,513.66,3070.34,14.33
2024-10-05 08:36:16,3584.0,424.52,3159.48,11.84
2024-10-05 08:36:16,3584.0,461.75,3122.25,12.88
2024-10-05 08:36:17,3584.0,552.29,3031.71,15.41
2024-10-05 08:36:17,3584.0,593.29,2990.71,16.55
2024-10-05 08:36:18,3584.0,559.76,3024.24,15.62
2024-10-05 08:36:18,3584.0,428.98,3155.02,11.97
2024-10-05 08:36:19,3584.0,382.49,3201.51,10.67
2024-10-05 08:36:19,3584.0,474.86,3109.14,13.25
2024-10-05 08:36:20,3584.0,257.26,3326.74,7.18
2024-10-05 08:36:20,3584.0,300.88,3283.12,8.39
2024-10-05 08:36:21,3584.0,295.71,3288.29,8.25
2024-10-05 08:36:21,3584.0,340.24,3243.76,9.49
2024-10-05 08:36:22,3584.0,425.53,3158.47,11.87
2024-10-05 08:36:22,3584.0,379.41,3204.59,10.59
2024-10-05 08:36:23,3584.0,317.41,3266.59,8.86
2024-10-05 08:36:23,3584.0,327.4,3256.6,9.14
2024-10-05 08:36:24,3584.0,305.19,3278.81,8.52
