S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
48,https://seniorenheim-weihungszell.de,17621.748988,20,9,187,1940,54,88,0.067058,0.023577,0.052336,0.253671,3776792,6094848,3231
49,https://www.dowhatworks.co.uk,17624.208497,4,4,273,1030,20,39,0.031592,0.02717,0.108679,0.436817,12578292,32280576,1741
50,https://www.solutionsprint.fr,17624.386922,6,4,24,656,5,4,0.006613,0.003202,0.001045,0.053333,1238984,2760704,3131
51,https://www.qplusconcept.com,17627.272354,7,8,23,637,19,37,0.031036,0.014535,0.016517,0.117634,2464056,5255168,2429
52,http://www.campiglioconsulting.com,17627.923217,6,4,0,125,6,4,0.002792,0.00057,0,0.017088,1087504,2498560,3530
53,https://ikartindy.com,17632.344865,7,4,79,708,30,30,0.029414,0.026194,0.027516,0.151158,2411980,4333568,3927
54,https://www.sakeco.ch,17633.43023,7,4,13,775,17,19,0.019042,0.024372,0.020033,0.121119,2295620,4071424,4379
55,http://www.nwp-ksu.org,17635.602767,9,5,51,843,36,62,0.036696,0.014445,0.107661,0.221733,8527804,12165120,2807
56,https://www.freshsmiles.ca,17638.074954,4,5,257,877,14,42,0.017036,0.021108,0.087304,0.338525,10639316,21856256,2064
57,http://www.tallerurbanomarbella.com,17639.854918,6,4,2,128,7,5,0.001587,0.000988,0.006886,0.03119,1556700,3682304,3982
58,http://zulukvillagehomestay.in,17642.529998,10,8,788,1963,46,48,0.037614,0.02011,0.102675,0.263243,5956588,10760192,5224
59,http://permare.net,17643.066233,9,6,145,1525,33,112,0.068862,0.133521,0.143041,0.506823,8506552,12533760,4397
60,https://www.localmeets.co.uk,17644.632872,12,8,136,891,32,43,0.093517,0.069532,0.149811,0.372799,6596436,11022336,4178
61,https://www.ajs-shop.co.uk,17646.349156,7,4,173,1160,33,79,0.052322,0.018981,0.074988,0.205665,5944252,11075584,3011
62,http://www.jjtaxiskirkcaldy.co.uk,17646.923264,6,4,51,1709,60,269,0.083484,0.063695,0.070199,0.349673,4969776,7090176,12722
63,https://www.la-maison-eliott.fr,17647.581823,9,6,196,3054,56,102,0.044903,0.023041,0.131099,0.34134,7015980,10604544,3704
64,http://www.sessellust.de,17650.336438,6,4,0,188,5,4,0.00634,0.000699,0,0.019815,1056892,2236416,3267
65,https://www.wyevalleyrecruitment.com,17654.096523,8,4,23,807,36,22,0.039956,0.018043,0.02172,0.149533,2644220,4206592,7243
66,https://www.soelia.it,17655.910465,9,4,150,1642,52,56,0.045612,0.037308,0.083114,0.262261,4962504,10399744,5232
67,https://kentpaintball.co.uk,17656.556044,52,29,337,1872,103,153,0.080922,0.074354,0.192257,0.588867,10776024,15781888,11225
68,https://rrequestriancenter.com,17656.747221,7,4,64,692,28,50,0.036298,0.035345,0.036741,0.209458,3872112,7024640,13911
69,http://www.jlcwest.com,17659.618778,6,4,9,6881,15,22,0.069745,0.016516,0.010369,0.147663,2346716,4194304,2582
70,http://researchiscool.com,17659.814582,6,4,6,8248,22,18,0.014923,0.015296,0.007489,0.100516,1814272,3973120,5454
71,https://www.theburgerlab.co.uk,17661.727458,61,29,674,1747,97,118,0.092022,0.032756,0.223614,0.551274,16080528,24915968,5240
72,http://www.rishabcommerce.com,17661.991556,6,4,18,582,20,86,0.019463,0.021229,0.023522,0.130372,2561376,4206592,4900
73,https://www.valoro.pl,17662.952957,8,4,52,1202,28,82,0.034068,0.019112,0.081951,0.203964,3571280,6041600,5960
74,https://www.richardsonpodiatry.co.uk,17666.189489,5,4,209,577,14,11,0.01316,0.008788,0.069897,0.247668,7411484,17575936,3020
75,https://reliablepod.com,17667.8974,10,13,225,2383,83,71,0.034701,0.030924,0.138458,0.418317,7532668,11943936,4748
76,http://www.metrodriltech.com,17671.995339,4,5,16,836,12,16,0.043732,0.038648,0.012711,0.164979,1369028,3284992,5540
77,https://www.growupmarketing.com.ar,17674.888081,4,4,124,1898,707,716,0.134949,0.099869,0.067336,0.955265,3289876,5517312,13157
78,http://www.icesindia.com,17676.894394,9,5,1,1343,8,7,0.021675,0.005319,0,0.065486,1285552,2760704,1745
79,https://www.kangenwaterlondon.co.uk,17678.33357,12,10,1336,8677,127,192,0.189388,0.095351,0.56039,1.259549,26645456,57155584,6385
80,https://leetrainingservices.com,17678.628945,6,4,0,1272,7,4,0.016302,0.004823,0.000174,0.050107,1217600,2498560,2065
81,https://klinjuryattorneys.com,17679.12454,18,19,786,7950,155,480,0.117894,0.320191,0.79752,2.002025,30938336,43491328,8007
82,https://www.tyrematics.com.au,17679.820241,6,4,0,239,10,4,0.004977,0.001118,0,0.030727,1101160,2498560,2560
83,https://www.magicalmomentsphotography.co.uk,17681.395732,6,4,542,911,17,15,0.032733,0.016142,0.278689,0.587719,24985720,37564416,2516
84,https://www.whittlesey-osteopaths.com,17682.568037,8,4,68,872,21,60,0.019985,0.015652,0.042076,0.133742,3779716,6041600,2638
85,https://www.vanlocks.co.uk,17684.13153,8,6,665,3801,60,222,0.08379,0.110077,0.271717,0.787704,10225488,15740928,8787
86,https://www.lesminipouces.fr,17684.510356,6,4,26,1222,28,30,0.058593,0.014747,0.028199,0.152674,2858404,4595712,4254
