S.N,Batch Count,Total Order,URL,Title,Length,Time Taken(ms),Render Time (ms)
1,0,2,https://www.grupoholguera.com,GRUPO HOLGUERA BIENES RAICES,78432,4483,4458
2,0,3,http://www.dronacharyaacademy.co.in,Home,37282,1480,1459
3,1,4,https://tamerakdesign.com,Tamera K Designs,151382,3072,3031
4,1,5,https://www.westcoastdancearts.com,Home | WestCoastDanceArts,875203,2097,2033
5,1,6,http://www.magnificentbudapest.hu,Error or No Title,53117,3464,3444
6,1,7,https://www.oxygen360.com.au,Oxygen360 – Creative and Media Agency,39546,5686,5658
7,2,8,https://www.totallyu.co.uk,Hair | Totally U | Middleton,772771,2377,2330
8,2,9,https://norbutmfg.com,Norbut Manufacturing – Custom Elastic Products for Industries Around the World.,88547,2945,2919
9,2,11,https://www.kinnelaw.com,Kinne IP Group,3083,3108,3053
10,3,12,https://www.rinologiayolfato.com,Rinoplastia | Rinologia y Olfato Doctor Mariño | Comunidad de Madrid,965886,4662,4498
11,3,13,https://www.nwpawn.com,Northwestern Loan & Pawnbrokers,139887,3295,3272
12,3,14,https://nwtacticaltraining.com,Home Page,9359,1703,1680
13,3,15,https://www.osteopathcanada.com,Home | General Osteopathic Council of Ontario,366546,3100,3065
14,4,16,http://www.fahrschule-frey.de,Fahrschule Frey - Startseite,39739,5517,5490
15,4,18,https://www.futurephysio.com,Physiotherapy and Sports Performance - Future Physio,46129,5031,5005
16,4,19,https://www.fernandawr.com,Fernanda Walker - Portfolio,86961,6011,5985
17,5,20,https://www.thevictoriasurbiton.co.uk,Home - Victoria Surbiton,161711,3084,3056
18,5,21,https://uuq-optic.com,UUQ Optics | Rifle Scopes Red Dots Boresighters Bipods & More,519322,6177,6055
19,5,23,https://www.familyabusesheltermc.org,Family Abuse Shelter of Miami County | Troy Ohio,924336,3350,3279
20,6,24,https://palotagumi.hu,Non Stop Autószerviz | 0-24 | Gumszerviz futómű állítás autómentés,197849,5552,5508
21,6,25,http://suhhani.com,㈜서한공업,393894,4795,4642
22,6,26,https://legend.life,The domain name legend.life is for sale,50807,2284,2266
23,6,27,https://www.qualitysourcingglobal.com,Sourcing Agents In India Quality Control Service Handicraft Sourcing Agent Indian Sourcing Agent Jodhpur Handicraft Exporter,111799,2496,2467
24,7,28,https://www.taxi22000.at,Taxi 22000 in Wiener Neustadt,109747,7985,7956
