S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,15879.617222,13,9,113,1791,40,68,0.102856,0.019754,0.092073,0.408379,4853092,9711616,4458
2,http://www.dronacharyaacademy.co.in,15880.615889,7,4,109,1190,20,75,0.045848,0.025663,0.03243,0.204866,2861832,5255168,1459
3,https://tamerakdesign.com,15881.203609,7,4,116,1041,30,39,0.106397,0.021685,0.106882,0.298453,6099772,10235904,3031
4,https://www.westcoastdancearts.com,15881.741325,7,4,438,802,14,31,0.071453,0.020368,0.221503,0.626485,17872112,31731712,2033
5,http://www.magnificentbudapest.hu,15882.684548,6,4,18,785,13,16,0.048648,0.005297,0.061312,0.157498,2111884,3809280,3444
6,https://www.oxygen360.com.au,15882.825056,7,4,48,574,13,17,0.024091,0.011692,0.15221,0.295228,5261436,9711616,5658
7,https://www.totallyu.co.uk,15883.504989,7,5,249,1336,13,11,0.133591,0.028056,0.112588,0.640694,11410952,19673088,2330
8,https://norbutmfg.com,15884.266639,9,6,134,1341,41,77,0.044171,0.065255,0.100256,0.355532,5236492,9187328,2919
9,https://www.kinnelaw.com,15885.224772,6,4,0,114,4,2,0.006865,0.001067,0.000568,0.035591,1000684,2498560,3053
10,https://www.rinologiayolfato.com,15885.222389,16,18,405,1300,21,29,0.136106,0.019935,0.255403,0.804714,16756292,33828864,4498
11,https://www.nwpawn.com,15886.446842,6,4,120,1912,18,37,0.075028,0.044418,0.444546,0.700159,15948464,22470656,3272
12,https://nwtacticaltraining.com,15886.884374,6,4,11,329,2,3,0.007997,0.000751,0.018016,0.050765,1916836,3547136,1680
13,https://www.osteopathcanada.com,15887.2235,6,4,353,897,13,16,0.021363,0.014387,0.142215,0.44445,11216972,19673088,3065
14,http://www.fahrschule-frey.de,15887.383589,10,5,86,743,18,25,0.100158,0.011646,0.036298,0.225407,2961544,4993024,5490
15,https://www.futurephysio.com,15887.933369,7,4,26,968,16,36,0.017285,0.020849,0.063287,0.161716,3592740,8925184,5005
16,https://www.fernandawr.com,15888.805271,6,4,57,3087,18,17,0.079687,0.009856,0.015103,0.369874,2389240,3944448,5985
17,https://www.thevictoriasurbiton.co.uk,15890.400831,70,9,587,1508,96,132,0.10381,0.029217,0.393617,0.780389,14632660,23277568,3056
18,https://uuq-optic.com,15890.441548,5,8,585,8573,37,69,0.056213,0.103117,0.246403,0.80838,8896608,18624512,6055
19,https://www.familyabusesheltermc.org,15890.76395,7,4,390,1657,13,12,0.076375,0.031983,0.166872,0.580961,13351896,21508096,3279
20,https://palotagumi.hu,15892.501089,13,8,100,11882,19,47,0.095932,0.021954,0.149048,0.445607,7039756,11546624,5508
21,http://suhhani.com,15892.547221,8,5,789,4055,30,120,0.1642,0.097056,0.129219,0.655036,8399532,12857344,4642
22,https://legend.life,15892.996094,10,5,71,1459,17,27,0.057818,0.010727,0.074478,0.245359,7321100,11022336,2266
23,https://www.qualitysourcingglobal.com,15893.372826,6,4,134,990,23,27,0.038045,0.020607,0.208994,0.399284,8851848,12537856,2467
24,https://www.taxi22000.at,15893.491526,20,9,263,1368,45,104,0.058145,0.037964,0.455522,0.735663,9182632,14168064,7956
25,http://www.samuelmarwit.com,15896.948255,7,4,55,764,15,18,0.074257,0.011623,0.030603,0.199015,2358088,4595712,8022
26,http://www.grossepointehomes.com,15897.087453,6,4,17,528,14,12,0.032388,0.00319,0.014388,0.102768,1928136,3809280,4302
27,https://gardasee.bio,15901.282768,7,4,87,1510,37,51,0.04735,0.011802,0.081693,0.259278,5221868,10498048,7693
28,https://www.cmjc.cl,15901.483206,9,4,16,833,45,30,0.036603,0.017153,0.031865,0.18993,2917060,5120000,10745
29,http://www.horizonmagnet.com,15902.340047,7,6,70,1369,34,108,0.022816,0.008283,0.195417,0.367626,7854680,12333056,8092
30,https://www.crossgarsurgery.co.uk,15903.194156,7,4,72,665,11,11,0.028062,0.005535,0.05774,0.155756,4624600,9449472,4766
31,http://www.iapplyschool.com,15904.403438,6,4,14,1090,21,28,0.048972,0.011549,0.035013,0.171197,2527716,4206592,10934
32,http://www.reflexsourcing.com,15904.550337,14,7,1,494,20,19,0.011587,0.016377,0.000599,0.108582,2906412,4071424,7159
33,https://www.t3h.cz,15905.117861,8,4,119,1418,23,33,0.060979,0.049697,0.066208,0.247066,3884268,8925184,2696
34,http://www.annabelleetavern.com,15908.177228,6,4,0,99,3,3,0.002532,0.01191,0.002843,0.038815,1045492,2498560,2971
35,https://www.lakelightphotography.com,15910.240754,4,5,246,675,15,18,0.013752,0.012322,0.107644,0.43045,9702992,20721664,2589
36,https://www.steveyingling.com,15910.524077,4,4,108,1033,97,104,0.039822,0.036044,0.255071,0.500082,8059900,16789504,6030
37,https://www.grotonfiredept.com,15910.968306,6,4,3,91,6,4,0.016049,0.0013,0.019271,0.072306,1912708,3547136,4594
38,http://www.scion-global.com,15913.8126,6,4,20,465,15,16,0.009067,0.002433,0.011066,0.059005,2020300,3944448,3449
39,http://rris-insurance.com,15914.602206,6,4,5,450,6,5,0.009337,0.003228,0.013702,0.067229,1181148,3022848,3985
40,http://www.suffolkclays.com,15917.880837,6,4,0,49,2,2,0.001492,0.0005,0,0.019072,943788,2236416,3188
41,https://hcaraujo.pt,15919.802295,14,14,156,7463,43,53,0.181993,0.093493,0.55562,1.372691,26439656,69206016,11514
42,http://impulsoradeportiva.com,15921.040506,14,9,900,2557,43,109,0.048363,0.031963,0.347755,0.622576,19996336,33361920,7133
43,http://www.loretron.com.br,15923.300451,6,4,42,484,14,46,0.024977,0.006813,0.032791,0.143251,2336920,3809280,12251
44,https://www.magie-maverick.com,15924.70993,6,4,68,1251,40,103,0.041806,0.021661,0.06736,0.222748,3747620,6303744,3549
45,http://www.leanderson.com.br,15928.815793,8,10,88,1230,70,115,0.063799,0.021936,0.259764,0.547992,14044128,28712960,10832
46,https://positivepants.co.uk,15932.145462,11,8,84,1554,20,38,0.076524,0.015762,0.039071,0.229942,3003196,5255168,9401
47,https://www.saltspringunited.com,15939.237981,6,4,34,1064,20,65,0.024224,0.011741,0.016154,0.133021,2231696,3809280,10311
48,http://www.hanilhightech.co.kr,15945.269449,6,4,103,1371,30,54,0.242186,0.025125,0.028477,0.414,2432556,3944448,21863
49,https://gnarlyeatstogo.com,15948.114775,7,4,19,451,20,20,0.05205,0.009122,0.017701,0.288859,2475968,3809280,4392
50,https://www.solutionsprint.fr,15948.194174,6,4,24,656,2,2,0.007693,0.001757,0.001131,0.056498,1144804,2498560,2586
51,https://seniorenheim-weihungszell.de,15948.685403,20,9,156,1890,40,76,0.054433,0.019478,0.057231,0.244149,3365692,5779456,3319
52,https://www.dowhatworks.co.uk,15950.317719,7,4,408,1110,16,36,0.035523,0.017562,0.115328,0.469763,15384852,21770240,2108
53,http://www.campiglioconsulting.com,15951.212082,6,4,0,125,2,2,0.003232,0.000461,0,0.018397,974000,2236416,2401
54,https://ikartindy.com,15955.145785,7,4,79,698,29,28,0.026307,0.021812,0.042794,0.190817,2543648,4333568,4547
55,https://www.sakeco.ch,15956.014083,7,4,13,761,13,16,0.014302,0.014686,0.020479,0.121991,2219056,4071424,4716
56,http://www.nwp-ksu.org,15958.556751,9,5,51,825,34,58,0.044656,0.013452,0.128183,0.258001,8377020,12165120,3316
57,https://www.hamiltonsbar.co.uk,15959.272873,10,12,63,1280,37,130,0.038974,0.022562,0.126179,0.326816,6397068,10235904,8837
58,https://www.bhhstruerealty.com,15959.72481,25,23,888,13617,96,118,0.138246,0.078141,0.748251,1.306288,20703692,37175296,6598
59,https://www.freshsmiles.ca,15960.092927,5,6,259,881,12,34,0.024825,0.019634,0.123853,0.435643,9937628,20721664,2002
60,http://www.tallerurbanomarbella.com,15962.363518,6,4,2,128,4,3,0.001627,0.000901,0.008508,0.040686,1509224,3682304,4886
61,http://permare.net,15963.5345,9,6,142,1451,26,100,0.066063,0.131361,0.169117,0.57552,7426244,11808768,4134
62,https://www.qplusconcept.com,15963.680573,7,8,23,633,16,32,0.042218,0.010942,0.023385,0.210289,2344172,4206592,15367
