S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,https://www.grupoholguera.com,13603.061743,14,11,121,1799,53,81,0.082195,0.017107,0.082673,0.651273,5472580,10498048,5546
2,http://www.dronacharyaacademy.co.in,13603.390322,7,4,109,1189,19,71,0.043013,0.017284,0.030582,0.170817,2728160,5120000,1887
3,https://tamerakdesign.com,13603.517246,7,4,116,1070,32,66,0.068947,0.015702,0.077915,0.21389,6100808,9973760,3011
4,https://www.oxygen360.com.au,13604.357585,7,4,48,574,12,17,0.009727,0.006174,0.083336,0.167774,5250900,9711616,4854
5,https://www.westcoastdancearts.com,13605.190228,7,4,438,801,15,27,0.054606,0.015558,0.192263,0.507371,17755880,32780288,2686
6,https://www.totallyu.co.uk,13607.273626,8,6,524,1353,24,90,0.080135,0.030611,0.145827,0.561707,16285612,22556672,3745
7,https://www.rinologiayolfato.com,13608.090895,16,18,405,1298,23,30,0.103561,0.017172,0.172525,0.625501,16502404,33304576,4623
8,https://norbutmfg.com,13608.575275,9,6,134,1347,45,77,0.032015,0.045,0.077775,0.271998,5147552,9187328,4970
9,https://www.kinnelaw.com,13608.948492,6,4,0,114,4,2,0.007535,0.00075,0.000321,0.02677,1000684,2498560,4432
10,https://www.fernandawr.com,13610.141794,6,4,57,3087,16,16,0.049834,0.005497,0.014403,0.254942,2389048,3944448,5517
11,http://www.fahrschule-frey.de,13610.201579,10,5,86,743,19,27,0.040529,0.005692,0.024307,0.125219,2966988,4993024,5762
12,https://www.futurephysio.com,13611.117971,7,4,26,968,16,36,0.020453,0.016475,0.061014,0.143438,3563808,8925184,5826
13,https://www.osteopathcanada.com,13611.359537,6,4,351,900,15,16,0.016862,0.010233,0.105711,0.327678,11111404,19935232,3992
14,http://www.h2ocreations.co.uk,13611.4872,14,7,1,498,19,18,0.015384,0.009255,0.000832,0.085995,2783168,4071424,4964
15,https://www.familyabusesheltermc.org,13613.991714,7,4,390,1657,11,9,0.059379,0.025523,0.105806,0.475109,13342708,21245952,2526
16,https://uuq-optic.com,13614.068304,12,17,595,8839,38,73,0.052053,0.092512,0.211356,0.668486,11011092,19673088,5865
17,https://www.thevictoriasurbiton.co.uk,13614.117932,70,9,589,1508,99,146,0.082671,0.021085,0.311765,0.595969,21914100,35221504,2925
18,http://suhhani.com,13615.908174,8,5,789,4054,32,125,0.154751,0.065579,0.105209,0.517403,8376940,13119488,4320
19,https://palotagumi.hu,13616.476347,13,8,100,11882,20,51,0.072795,0.014542,0.124588,0.337706,7061892,11022336,6192
20,https://www.taxi22000.at,13616.785311,20,9,263,1368,47,100,0.041517,0.023943,0.300869,0.484833,9705948,18624512,7765
21,https://www.qualitysourcingglobal.com,13617.011498,6,4,134,991,23,23,0.036695,0.017699,0.144157,0.28746,8859708,13062144,2726
22,http://www.samuelmarwit.com,13620.762641,7,4,55,764,16,19,0.044324,0.008608,0.022841,0.127092,2795280,4730880,8552
23,http://www.grossepointehomes.com,13621.789972,6,4,17,528,15,12,0.030184,0.002936,0.010726,0.078077,1929488,3809280,5240
24,https://gardasee.bio,13623.107998,7,4,81,1509,37,50,0.038512,0.009203,0.067328,0.17793,4815196,8925184,4810
25,https://www.cmjc.cl,13623.357541,9,4,16,833,49,34,0.032914,0.015047,0.025171,0.14553,2854212,4595712,9082
26,http://fachpflegedienst-airflow.de,13625.7572,8,5,100,1258,20,48,0.032039,0.018174,0.094388,0.197609,5039184,10235904,2590
27,http://www.horizonmagnet.com,13627.776694,7,6,70,1369,31,111,0.015344,0.005934,0.160906,0.265501,7619868,12070912,6960
28,http://www.reflexsourcing.com,13628.387959,14,7,1,494,22,19,0.009172,0.004124,0.000572,0.068902,2906412,4071424,4976
29,https://www.crossgarsurgery.co.uk,13629.517569,7,4,72,665,11,10,0.026149,0.003754,0.051908,0.124189,4653452,9711616,3438
30,https://www.t3h.cz,13632.152403,8,4,119,1418,26,36,0.04162,0.033898,0.051198,0.17711,3984952,9187328,3275
31,http://www.manutention-levage-grue.fr,13639.241283,6,4,43,353,15,25,0.042957,0.004788,0.055185,0.1494,3502192,5779456,9663
32,http://www.annabelleetavern.com,13643.294969,6,4,0,99,3,3,0.001789,0.000769,0.002055,0.018171,1045492,2498560,3993
33,https://www.steveyingling.com,13644.956015,5,4,75,1029,100,107,0.030515,0.027757,0.170948,0.352239,6700804,16265216,12728
34,https://www.grotonfiredept.com,13648.539336,6,4,3,91,4,4,0.020655,0.001132,0.017921,0.060791,1912468,3547136,8926
35,http://www.scion-global.com,13651.340883,6,4,20,465,15,16,0.01053,0.001999,0.009476,0.050168,2020284,3682304,2855
36,https://www.lakelightphotography.com,13651.359752,7,5,357,763,18,21,0.014173,0.011787,0.088906,0.335857,12545176,20721664,8007
37,https://hcaraujo.pt,13652.667769,30,15,138,9664,16,21,0.141475,0.046837,0.203918,0.576581,24730448,39792640,7648
38,http://rris-insurance.com,13653.360794,6,4,5,450,6,5,0.009821,0.003526,0.007928,0.052219,1181148,3022848,4768
39,https://www.magie-maverick.com,13657.407532,6,4,13,1063,4,6,0.007388,0.003882,0.025174,0.065337,2638896,4206592,3993
40,http://impulsoradeportiva.com,13657.83045,14,9,900,2558,46,109,0.041269,0.021524,0.251961,0.458459,16795892,33714176,6430
41,http://www.loretron.com.br,13659.054078,6,4,42,484,14,32,0.022749,0.003236,0.017492,0.07549,2412348,3944448,9289
42,http://www.leanderson.com.br,13661.632827,10,10,100,1126,47,61,0.043794,0.013487,0.16047,0.346977,23112952,35905536,9723
43,https://www.saltspringunited.com,13665.329432,6,4,34,1064,20,114,0.02069,0.022415,0.015672,0.13058,2362980,3944448,6221
44,https://gnarlyeatstogo.com,13669.072795,7,4,19,451,29,26,0.054397,0.0093,0.017645,0.15876,2475968,3809280,3685
45,https://positivepants.co.uk,13669.172541,11,14,84,1554,22,42,0.065285,0.016621,0.031304,0.206879,3022444,4730880,14628
46,http://www.manitusolar.com,13669.716693,6,4,5,440,14,14,0.022883,0.003309,0.00509,0.064716,1650856,3547136,8015
47,https://www.dowhatworks.co.uk,13672.011365,7,4,408,1110,17,22,0.02997,0.013696,0.091569,0.347482,12768488,30683136,2242
48,https://www.solutionsprint.fr,13672.381775,6,4,24,656,2,2,0.006371,0.001741,0.00117,0.041553,1144804,2760704,3145
49,https://seniorenheim-weihungszell.de,13672.604897,20,9,156,1890,41,71,0.050602,0.013373,0.051294,0.211351,3388012,6041600,3473
50,http://www.campiglioconsulting.com,13675.749372,6,4,0,125,3,2,0.002471,0.000329,0,0.01331,977396,2236416,3312
51,https://ikartindy.com,13678.19492,7,4,79,698,28,27,0.021414,0.016876,0.028942,0.134948,2546136,4333568,4062
52,https://www.sakeco.ch,13678.695125,7,4,13,761,15,16,0.013796,0.01197,0.023675,0.103654,2252668,4071424,4415
53,http://www.nwp-ksu.org,13680.147572,9,5,50,842,37,52,0.163493,0.011109,0.10787,0.335215,8316932,11902976,3015
54,http://www.tallerurbanomarbella.com,13682.431259,6,4,2,128,6,3,0.001438,0.000912,0.008983,0.030613,1509300,3682304,3682
55,https://www.freshsmiles.ca,13682.433401,4,5,255,877,14,40,0.018998,0.014056,0.083257,0.322315,8975888,19673088,2235
56,https://www.qplusconcept.com,13684.936694,7,8,26,637,16,24,0.043862,0.006744,0.030101,0.133508,3076492,5255168,12838
57,http://zulukvillagehomestay.in,13685.496908,10,8,517,1115,27,23,0.030883,0.013186,0.084731,0.225358,5649280,10498048,4946
58,http://permare.net,13686.624634,9,6,145,1451,25,102,0.056859,0.0984,0.127341,0.424817,7599424,12070912,4090
59,https://www.localmeets.co.uk,13686.715835,12,8,136,887,27,40,0.045142,0.029271,0.14279,0.270616,6534176,11284480,4170
60,https://www.ajs-shop.co.uk,13688.604765,7,4,99,1142,27,75,0.036339,0.012538,0.07484,0.176681,5632808,10551296,2728
61,https://www.la-maison-eliott.fr,13689.247395,9,6,148,2775,43,87,0.035435,0.013951,0.128545,0.266349,6106548,10760192,3690
62,http://www.sessellust.de,13690.695777,6,4,0,188,2,2,0.004284,0.000489,0,0.01596,947180,2236416,2747
63,http://www.curry-basmati-house.de,13691.265723,6,4,0,122,3,2,0.004009,0.000491,0,0.01855,947192,2236416,2605
64,https://www.wyevalleyrecruitment.com,13693.998586,7,4,23,698,31,20,0.039539,0.008785,0.026664,0.234926,2363040,3809280,7214
65,http://www.jlcwest.com,13696.020357,6,4,9,6881,9,13,0.042946,0.005653,0.010396,0.1011,2048104,3682304,1646
66,https://rrequestriancenter.com,13696.293206,7,4,54,683,11,12,0.018189,0.013645,0.033237,0.138322,3119376,4993024,11292
67,https://www.soelia.it,13696.464365,9,4,149,1770,70,95,0.036879,0.031055,0.073796,0.246621,4718756,9711616,7154
68,https://kentpaintball.co.uk,13697.600783,57,30,345,1992,57,92,0.057731,0.041724,0.191919,0.477918,11782876,15740928,10910
69,https://www.theburgerlab.co.uk,13700.003812,61,29,525,1430,62,77,0.070304,0.0212,0.195102,0.431554,16736636,23080960,5944
70,http://www.rishabcommerce.com,13700.603854,6,4,18,578,15,69,0.012208,0.01646,0.02092,0.103977,2480060,4468736,4244
71,https://reliablepod.com,13704.237201,10,13,201,2168,24,20,0.015231,0.015664,0.116153,0.256457,6549300,10760192,4153
72,https://www.growupmarketing.com.ar,13704.803201,4,4,124,1773,361,367,0.082437,0.053313,0.057638,0.47331,3065292,5779456,7125
73,https://www.richardsonpodiatry.co.uk,13706.978534,7,4,276,625,10,8,0.010985,0.005186,0.063679,0.211199,9936760,17838080,2672
74,http://www.warrtech.com.au,13708.223533,10,10,33,716,15,111,0.017402,0.010624,0.078454,0.195404,12143680,21020672,7559
75,https://klinjuryattorneys.com,13713.502736,20,18,603,7951,151,386,0.071697,0.27535,0.68438,1.465042,29942404,41525248,5572
76,https://www.valoro.pl,13716.403135,8,4,52,1169,23,104,0.018356,0.009511,0.072608,0.177934,3537024,6041600,20323
77,https://www.kangenwaterlondon.co.uk,13716.444045,10,9,1334,8549,111,174,0.152506,0.072243,0.332615,0.791072,21088052,53751808,8161
78,http://hilleyconstruction.com,13718.912754,8,6,9,455,17,20,0.010736,0.003266,0.015829,0.062249,2200008,3944448,5322
79,http://www.icesindia.com,13718.952884,9,5,1,1345,7,7,0.022786,0.002784,0,0.055531,1175420,3022848,2491
80,https://leetrainingservices.com,13720.685778,6,4,0,1272,4,2,0.009804,0.002596,0.000221,0.033284,997720,2236416,1677
81,https://www.magicalmomentsphotography.co.uk,13721.791985,6,4,544,913,11,12,0.021672,0.010601,0.252915,0.500967,21257664,35139584,2313
82,https://www.tyrematics.com.au,13721.993133,6,4,0,239,8,2,0.003798,0.000572,0,0.024183,977392,2236416,2971
83,https://www.whittlesey-osteopaths.com,13723.285775,8,4,26,858,16,52,0.015352,0.011232,0.044318,0.116831,3467768,6303744,2540
84,https://www.lesminipouces.fr,13725.577202,6,4,26,1202,24,26,0.041578,0.005995,0.024146,0.109425,2770364,5644288,3706
85,https://www.vanlocks.co.uk,13725.641522,5,6,804,2774,55,218,0.064411,0.082952,0.275924,0.643579,9387324,14954496,9122
86,http://www.b2btechno.net,13727.265349,6,4,15,641,5,4,0.013957,0.002586,0.016098,0.066581,2206324,4993024,3923
87,https://www.creative4you.com.pt,13728.902498,7,4,216,800,28,67,0.077236,0.006034,0.060438,0.185387,4622136,9711616,3769
88,http://www.milwaukeeelectric.com,13729.63091,7,4,9,363,2,2,0.003124,0.00127,0.008011,0.030668,1805224,3547136,3990
89,http://www.cliqueetcroque.com,13729.795956,4,4,129,1962,41,102,0.054683,0.026918,0.049463,0.253687,2934768,3682304,36551
90,https://www.ing-gesellschaft-hh.de,13730.020282,6,4,41,325,4,4,0.002594,0.00211,0.008247,0.036136,1725996,3547136,2697
91,https://beginideas.com,13731.60197,27,13,190,730,10,46,0.01348,0.012469,0.043404,0.13242,4002208,6565888,1527
92,https://www.michalski-kraus.de,13731.640916,9,4,20,788,4,7,0.025808,0.01072,0.007574,0.071267,1701828,3284992,2539
93,https://web-stark.de,13733.498851,10,4,17,574,8,9,0.034554,0.009279,0.014487,0.089614,2148736,4071424,3642
94,https://www.internaatvlaamseardennen.be,13734.592808,8,5,33,568,16,18,0.029163,0.004253,0.076785,0.146692,4691880,9449472,2883
95,http://www.astorplumbingandheating.info,13734.785521,6,4,39,404,9,10,0.009582,0.003143,0.01056,0.047917,2131436,3944448,3088
96,https://www.farwellsfinejewelry.com,13735.365935,7,4,67,863,24,62,0.022389,0.007396,0.129246,0.212414,9154964,13475840,2650
97,https://samanthashakiraclarke.com,13736.735657,7,4,61,1988,34,57,0.091773,0.011053,0.058133,0.210312,6294736,10108928,2086
98,https://www.ossia.org,13737.385963,6,4,0,163,2,2,0.004291,0.000479,0,0.018044,977384,2236416,2546
99,https://www.tmod.co.uk,13737.601919,11,6,16,506,28,31,0.027389,0.005702,0.078937,0.155413,6262024,15417344,2180
100,https://www.music-shop-polzow.de,13738.6749,7,4,92,7260,11,12,0.060566,0.018657,0.125534,0.314376,7376644,11808768,16115
101,https://www.kfo-bastin.de,13739.435555,6,5,146,1427,10,29,0.011893,0.010729,0.031329,0.090615,2417720,5779456,2634
102,https://ngbygg.nu,13740.225097,11,8,84,916,8,18,0.010138,0.007861,0.080377,0.188944,14658176,22081536,10541
103,https://www.designadvisoryservice.co.uk,13740.673525,7,4,57,512,8,11,0.004865,0.005745,0.059782,0.119066,5286380,9449472,3232
104,https://tailoredkneads.com,13741.868206,6,4,373,549,5,12,0.035952,0.006987,0.047056,0.165632,5248380,10498048,2360
