S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.altreetz-online.de,276820.174224,4,2,35,2662,7,6,0.007637,0.003243,0.000521,0.047945,1842268,3297280,4220
2,http://www.ecan.be,276821.045608,5,5,118,15064,24,20,0.04459,0.042188,0.050786,0.301473,7147148,16486400,5398
3,https://www.rechtsanwalt-moellers.de,276821.343488,3,1,15,6161,20,23,0.007799,0.005475,0.019575,0.086552,2671276,4608000,4292
4,https://www.rayun.cl,276823.008977,2,4,221,13018,55,196,0.030288,0.056188,0.243897,0.564814,15022328,28487680,8724
5,http://www.csjfilter.com,276824.503542,3,1,32,4251,39,226,0.04,0.037325,0.03093,0.289569,2410472,3956736,10713
6,https://mondo.cl,276825.109487,4,1,75,5194,32,59,0.016535,0.023224,0.055837,0.199791,4377636,9199616,5581
7,https://heilpraktiker-silke-wagner.de,276826.186062,3,1,213,12157,48,58,0.052922,0.028466,0.096513,0.37354,6439148,11821056,4751
8,https://woolfplumbing.com.au,276827.301676,12,8,439,8807,50,347,0.056766,0.091947,0.247819,0.888189,13205568,19947520,3155
9,http://www.csjlfz.com,276828.000232,3,3,287,9486,38,91,0.061022,0.082426,0.137265,0.55093,6761620,10248192,4384
10,https://hospitalismaelroldan.gov.co,276828.483151,4,4,158,18430,51,102,0.047328,0.054784,0.587771,0.969134,10513836,15847424,9553
11,https://hi-management.com,276829.235112,4,1,107,15244,176,189,0.111538,0.069397,0.155015,0.650978,8136836,12574720,6167
12,https://www.kampasa.fr,276829.987928,2,2,111,34584,21,16,0.046104,0.030427,0.410954,1.029347,16880200,35672064,4034
13,https://www.autocaresalcaide.net,276831.437437,10,6,250,24205,38,161,0.046919,0.077003,0.152041,0.546121,6572840,9969664,4347
14,https://www.pflegeverbund-opf.de,276832.155049,4,1,412,20376,26,84,0.034182,0.042909,0.099665,0.429361,5101072,10248192,4450
15,https://www.tsv-simbach.de,276833.362311,2,2,164,17902,106,125,0.043112,0.03979,0.137221,0.50907,7393088,13139968,9224
16,https://www.yara.co.zm,276833.700611,5,5,552,344790,28,28,0.028845,0.039385,0.192423,0.79267,10699984,19210240,2925
17,https://hairlounge-lueneburg.de,276834.104255,4,1,102,3157,21,122,0.020709,0.025511,0.056998,0.308226,2673208,3956736,4685
18,https://safen.sk,276835.052362,4,4,212,45368,56,91,0.133788,0.160508,0.225995,0.987239,9679588,19599360,7563
19,https://www.teammania.de,276836.069863,3,3,94,6856,50,284,0.09117,0.043066,0.228949,0.900925,5537984,14966784,4040
20,https://freedomfabmt.com,276837.437228,1,1,239,10546,98,179,0.110086,0.082897,0.167101,1.047746,4497700,6840320,12220
21,https://www.tiddleschildcare.co.uk,276838.285532,3,3,69,1569,137,164,0.129147,0.051151,0.148568,0.765557,2935480,5005312,5361
22,http://www.mobilitas-physiotherapie.de,276838.70708,3,1,27,9502,17,13,0.019677,0.014677,0.031246,0.19613,2841104,4620288,4540
23,http://shalomeuropa.de,276839.129666,4,3,235,10459,112,201,0.030902,0.035671,0.129588,0.414995,3359856,5529600,7353
24,https://www.gs-wallertheim.de,276840.209921,10,4,241,6834,55,83,0.055249,0.024369,0.149697,0.485349,9342916,13492224,4837
25,http://www.csk-guidelineari.com,276840.362481,3,1,38,2099,5,4,0.005037,0.00099,0.008775,0.062989,1740152,3694592,4948
26,https://www.tennisclub-weiler.de,276841.204835,1,1,129,5939,61,183,0.07698,0.090704,0.207585,0.869293,4540168,10772480,6841
27,http://www.cruiseoptionsonline.com,276841.447149,5,2,33,381,5,4,0.004796,0.001728,0.000746,0.034238,1275872,3035136,2545
28,http://www.cheproeng.com,276842.186525,3,1,199,8079,119,167,0.075085,0.056645,0.110098,0.396345,4517776,9461760,5680
29,https://www.woond.nl,276842.657251,5,1,52,4977,29,57,0.017321,0.023971,0.099017,0.23055,5854476,9723904,4383
30,https://www.architektura-bielsko.pl,276843.086659,3,1,2,1191,7,1,0.006208,0.001791,0.012872,0.073245,1772536,3694592,3542
31,http://www.gabdesigns.co.uk,276843.36414,3,1,0,2419,7,20,0.00554,0.003805,0.000563,0.06749,1313144,3035136,2395
32,https://www.via4spine.de,276843.836043,4,1,157,31810,56,64,0.060567,0.045403,0.037624,0.415714,4264908,8839168,4384
33,http://www.grundschule-zum-obersten-holz.de,276844.184442,3,1,14,5548,21,24,0.010589,0.007451,0.02708,0.101019,2763348,4743168,3627
34,https://www.mmkn.org,276846.294289,1,1,282,19079,359,702,0.128761,0.129505,0.464896,1.256042,14203612,23830528,4090
35,https://www.dinnede-manufaktur.eu,276849.539805,3,1,20,14774,26,28,0.061543,0.016976,0.037815,0.204205,3686380,5005312,4140
36,https://mindfulnesseveryday.org,276850.579405,2,1,153,15846,45,44,0.098797,0.055507,0.096019,0.63513,6591496,11714560,5624
37,https://wolksoftcr.com,276851.453538,9,13,456,25235,58,190,0.07779,0.210009,0.482355,1.972791,11641436,30695424,5632
38,https://www.sv-naturstein.de,276851.994533,3,1,24,5130,120,140,0.019097,0.011069,0.039692,0.216049,2659880,4481024,4653
39,https://hogarprestige.com,276852.341601,18,9,211,2293,69,67,0.064702,0.049519,0.140478,1.027021,8214544,18575360,8032
40,https://www.codeunique.de,276852.817865,4,3,114,12441,29,57,0.06621,0.037699,0.034123,0.718223,2331848,3956736,10279
41,https://www.getriebenotdienst.de,276853.691216,2,2,1173,61294,119,142,0.378039,0.16392,0.093577,1.370775,4325264,9785344,6433
42,https://www.la-choue.com,276854.690307,2,4,495,36294,98,302,0.30445,0.214064,0.265855,1.639454,5878380,16277504,6600
43,http://www.lazyriveroutpost.com,276855.566568,8,6,52,6703,36,195,0.009674,0.026257,0.080012,0.316285,4534132,6053888,7233
44,https://www.xn--colosseum-rheinbllen-jbc.de,276856.214658,11,5,296,28128,156,157,0.071083,0.044077,0.108788,0.467655,6009400,10772480,4890
45,https://www.murphys-tattoo.de,276858.042033,6,2,47,7310,25,34,0.023549,0.022652,0.086874,0.259761,5636248,9551872,2902
46,https://www.bunert.de,276859.54375,19,15,640,36562,89,129,0.10285,0.094103,0.341738,1.454643,9721348,19685376,5718
47,https://dieschreyers.com,276861.092131,1,1,40,9806,40,76,0.029712,0.046859,0.062025,0.536668,2677972,6840320,5989
48,https://escapethis.place,276862.415054,13,9,14,7432,11,9,0.032825,0.017926,0.110453,0.364644,5041500,9461760,5260
49,http://koniksport.pl,276863.68473,4,4,348,14299,78,285,0.084487,0.134869,0.236273,1.315274,9560960,17326080,7120
50,http://www.praxis-kirchmeyer.de,276864.066747,12,4,518,7192,304,471,0.117308,0.094456,0.045923,0.693958,3468452,6578176,10268
51,https://www.nppaa.net,276864.1982,3,1,21,1266,15,21,0.010088,0.008542,0.353305,0.471102,6950840,11128832,7285
52,https://tyremanmc.com.au,276865.156458,6,9,180,26022,96,124,0.223584,0.064678,0.520934,1.482274,14989672,34082816,4783
53,https://www.ariesdogland.com,276865.952478,1,4,271,66151,29,26,0.089048,0.034763,0.178932,1.270683,12398976,31670272,4211
