S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,275819.039915,5,5,118,15064,23,20,0.048092,0.041131,0.047536,0.267548,7147652,16486400,4979
2,http://www.altreetz-online.de,275819.299458,4,3,35,2621,6,6,0.006855,0.002116,0.000181,0.045134,1431128,3297280,4752
3,https://www.rechtsanwalt-moellers.de,275819.563695,3,1,15,6161,20,23,0.00879,0.00447,0.017769,0.078449,2687740,4608000,3783
4,https://www.rayun.cl,275822.433365,2,4,221,13018,59,191,0.032038,0.056477,0.238377,0.562593,15055960,28225536,9624
5,http://www.csjfilter.com,275823.403548,3,1,32,4236,39,232,0.036863,0.043026,0.035036,0.388946,2388580,3956736,11142
6,https://heilpraktiker-silke-wagner.de,275824.441352,3,1,213,12157,47,55,0.067491,0.033437,0.104209,0.350874,6367084,11821056,4306
7,https://woolfplumbing.com.au,275825.478342,3,3,359,8932,34,302,0.055993,0.083701,0.166608,0.713044,6008428,12083200,3099
8,http://www.csjlfz.com,275826.083147,7,3,159,20980,20,21,0.052776,0.044999,0.020222,0.311315,2664980,5025792,5039
9,https://hi-management.com,275826.754451,4,1,107,15216,170,186,0.083395,0.069564,0.113554,0.516332,8045024,12574720,6072
10,https://hospitalismaelroldan.gov.co,275827.213982,6,5,254,1803,57,102,0.04301,0.036177,0.180727,0.480236,11038376,16015360,9204
11,https://freedomfabmt.com,275829.553206,1,1,235,10807,104,148,0.114804,1.229363,0.17445,2.038884,4614424,14442496,7591
12,https://www.kampasa.fr,275830.218368,2,2,110,3232,20,14,0.043662,0.034755,0.080395,0.706705,9421876,29122560,3522
13,https://hairlounge-lueneburg.de,275830.546165,4,1,102,3133,21,120,0.011176,0.015152,0.048323,0.168651,2221216,3956736,3412
14,https://mondo.cl,275831.004908,4,1,71,5194,30,72,0.0148,0.032774,0.066246,0.25831,4379532,6840320,11259
15,https://www.tiddleschildcare.co.uk,275831.735055,10,3,110,14555,44,38,0.073948,0.025065,0.050528,0.438193,3177104,8413184,3723
16,https://www.pflegeverbund-opf.de,275832.351136,4,1,412,20376,28,86,0.074583,0.053222,0.128245,0.495334,5123056,9986048,5373
17,https://www.autocaresalcaide.net,275832.756251,14,9,253,24537,46,200,0.041001,0.066182,0.175053,0.680702,4434608,9723904,5379
18,https://www.teammania.de,275833.441398,4,1,104,10429,42,197,0.024755,0.022423,0.130976,0.445267,6257312,10510336,2046
19,https://www.tsv-simbach.de,275834.317712,2,2,166,17822,108,135,0.085043,0.051412,0.185659,0.557652,6895180,12083200,9192
20,https://www.yara.co.zm,275834.499136,4,5,454,243044,15,18,0.020342,0.023352,0.141067,0.676225,9011588,19800064,5061
21,http://www.mobilitas-physiotherapie.de,275834.893198,3,1,27,9366,17,13,0.022554,0.016481,0.027158,0.165017,2845716,4620288,3695
22,https://safen.sk,275837.002603,4,4,211,32271,47,90,0.139822,0.167796,0.186146,0.905596,6191220,12345344,12431
23,https://www.gs-wallertheim.de,275838.263069,10,4,241,6705,55,50,0.036501,0.016676,0.111712,0.369123,9380684,13209600,3604
24,http://www.schmidt-umzuege-trier.de,275838.89647,3,1,117,20630,90,246,0.058958,0.091814,0.128142,0.61212,4812720,9461760,4557
25,http://shalomeuropa.de,275839.36943,4,3,249,10459,176,273,0.051079,0.046667,0.174264,0.49336,3594240,5267456,6666
26,http://www.csk-guidelineari.com,275839.517013,9,4,300,5492,12,25,0.014086,0.014159,0.159272,0.326395,11876996,19423232,5429
27,https://www.woond.nl,275839.931907,5,1,55,4977,28,53,0.015356,0.020656,0.084383,0.214401,5727000,9461760,3681
28,https://www.tennisclub-weiler.de,275840.662479,1,1,129,12067,64,178,0.066664,0.08478,0.188006,0.758595,6921084,10895360,7164
29,https://www.via4spine.de,275841.075895,4,1,157,31809,37,48,0.051823,0.042232,0.062094,0.349263,4266592,8839168,4434
30,http://www.cruiseoptionsonline.com,275841.223962,5,2,33,381,5,4,0.004714,0.001163,0.000844,0.029702,1275872,3035136,3499
31,https://www.architektura-bielsko.pl,275841.45809,3,1,2,1191,7,1,0.007935,0.001676,0.01336,0.068973,1772512,3694592,3896
32,http://www.cheproeng.com,275842.063025,3,1,199,9073,180,229,0.083693,0.064568,0.114638,0.436564,4718612,7626752,6675
33,http://www.gabdesigns.co.uk,275843.087052,3,1,0,2420,8,20,0.012377,0.002927,0.000855,0.060938,1313144,3035136,3449
34,https://www.mmkn.org,275844.622857,1,1,282,19079,351,711,0.099053,0.084335,0.378067,0.926304,14179376,23568384,4303
35,https://hogarprestige.com,275847.240922,27,5,435,1995,40,32,0.053511,0.041069,0.132119,0.528161,9254440,13856768,6647
36,https://wolksoftcr.com,275848.247616,9,10,300,25090,49,206,0.099497,0.203208,0.281629,1.336097,8044696,18898944,5443
37,https://mindfulnesseveryday.org,275849.282757,1,1,145,17153,46,47,0.07958,0.050541,0.080486,0.555348,6070320,11214848,5956
38,https://www.sv-naturstein.de,275850.129282,3,1,24,4989,51,53,0.01178,0.006598,0.018149,0.133703,2752080,4218880,6029
39,https://www.codeunique.de,275850.684886,4,3,116,12441,30,58,0.045928,0.035508,0.029879,0.48348,2340732,4218880,9886
40,https://www.getriebenotdienst.de,275851.559187,2,2,561,23481,120,145,0.186427,0.108249,0.060717,1.075913,2175352,6316032,7806
41,https://www.dinnede-manufaktur.eu,275852.593077,3,1,20,14774,24,27,0.064022,0.018744,0.031606,0.204192,3685896,5005312,9553
42,http://www.lazyriveroutpost.com,275853.209168,6,4,50,6709,34,146,0.008669,0.02198,0.097273,0.312432,4202088,5529600,9439
43,https://www.la-choue.com,275854.271234,2,4,493,24860,72,218,0.203325,0.175993,0.277085,1.312509,11070048,18866176,10376
