S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.csjfilter.com,284117.583877,3,1,36,4193,22,37,0.007798,0.002488,0.01738,0.06067,2289372,4218880,5023
2,http://www.ecan.be,284120.561627,1,1,118,8137,17,19,0.010806,0.004551,0.046905,0.194196,5076940,16015360,4266
3,https://www.rechtsanwalt-moellers.de,284121.314773,3,1,15,6459,17,20,0.009966,0.002905,0.027614,0.08317,2992812,4345856,4700
4,http://www.csjlfz.com,284122.621842,4,1,149,21378,10,12,0.012358,0.006523,0.021783,0.132508,3326600,4771840,3467
5,https://heilpraktiker-silke-wagner.de,284122.884923,3,1,140,13569,18,21,0.012017,0.007467,0.096365,0.18992,6782768,11034624,3748
6,https://mondo.cl,284123.580844,4,1,45,5982,19,70,0.008971,0.006347,0.065384,0.163278,4341224,9199616,5256
7,https://woolfplumbing.com.au,284134.696184,12,7,426,25278,45,163,0.032726,0.017741,0.218147,0.601993,11149720,19423232,2417
8,https://hospitalismaelroldan.gov.co,284135.003884,2,3,156,1678,48,93,0.020091,0.014472,0.22622,0.479258,8831052,19161088,6309
9,https://www.rayun.cl,284136.642006,2,3,239,13710,66,789,0.026226,0.049345,0.433247,0.846748,14941880,29138944,10392
10,https://hi-management.com,284137.143677,4,1,106,14872,20,29,0.041917,0.024868,0.112492,0.294231,7119100,12050432,3900
11,https://www.kampasa.fr,284137.673602,3,4,371,37706,24,28,0.093729,0.028551,0.158324,0.889097,24295060,37642240,2224
12,https://freedomfabmt.com,284138.077195,2,1,242,11302,44,70,0.091369,0.033651,0.131966,0.579541,4737188,10248192,5180
13,https://www.pflegeverbund-opf.de,284138.455398,4,1,471,20794,22,68,0.024615,0.022677,0.109644,0.381168,5530896,7102464,10930
14,https://www.autocaresalcaide.net,284138.637104,2,4,177,18813,415,778,0.074793,0.084142,0.286032,0.962742,3821328,6684672,10932
15,https://www.tiddleschildcare.co.uk,284139.145897,6,1,110,16154,29,33,0.022324,0.009757,0.051823,0.192501,3400932,8708096,2998
16,https://hairlounge-lueneburg.de,284139.284437,4,1,102,3668,14,46,0.006809,0.004208,0.022753,0.087741,2222280,3956736,3330
17,https://www.tsv-simbach.de,284139.632075,2,1,155,17688,61,74,0.047033,0.020915,0.137364,0.363751,6282212,9199616,16814
18,https://safen.sk,284140.913515,2,2,212,50013,26,40,0.044169,0.01638,0.170883,0.448544,7737032,15405056,15473
19,https://www.teammania.de,284141.294566,1,1,94,7164,31,51,0.039147,0.008033,0.16876,0.365464,4672832,10248192,1909
20,https://www.yara.co.zm,284141.429666,1,2,464,228668,9,11,0.021121,0.008986,0.16007,0.65211,8986944,20062208,2975
21,http://shalomeuropa.de,284141.893502,4,3,53,12082,11,8,0.011001,0.00444,0.010868,0.114209,2518136,4345856,3152
22,http://www.mobilitas-physiotherapie.de,284142.945306,3,1,27,9711,12,13,0.016907,0.007119,0.025721,0.114343,2824024,4620288,3989
23,https://www.gs-wallertheim.de,284144.543582,4,1,209,7287,23,26,0.011439,0.006802,0.105228,0.207654,8471280,12922880,4263
24,http://www.cruiseoptionsonline.com,284144.733304,3,1,33,417,5,4,0.002881,0.000514,0.000777,0.022231,1276224,3035136,2541
25,https://www.architektura-bielsko.pl,284144.855828,3,1,2,1668,5,2,0.003224,0.000642,0.005751,0.039257,1775104,3694592,2530
26,https://www.tennisclub-weiler.de,284145.162519,1,1,129,7541,54,143,0.037979,0.025221,0.154373,0.575242,4817168,10510336,5848
27,https://www.via4spine.de,284147.682155,4,1,157,33062,17,34,0.016098,0.008431,0.042333,0.165892,4261396,9101312,3660
28,http://www.csk-guidelineari.com,284147.848101,7,3,300,5555,10,12,0.002874,0.003159,0.194714,0.301741,11937208,19423232,5893
29,https://www.woond.nl,284148.017831,5,1,55,5310,20,41,0.008084,0.005362,0.091908,0.184387,5694004,9461760,3777
30,http://www.cheproeng.com,284148.602098,3,1,199,8978,65,150,0.022918,0.012421,0.121276,0.249333,5617176,9723904,7218
31,http://www.grundschule-zum-obersten-holz.de,284148.872571,3,1,14,5971,18,22,0.012969,0.002827,0.029441,0.101678,2788388,4743168,5625
32,https://www.mmkn.org,284151.448025,2,1,305,21215,361,570,0.079137,0.030665,0.337969,0.79482,14597268,24072192,4447
33,https://www.codeunique.de,284155.784023,3,1,54,17114,10,53,0.014737,0.004074,0.023129,0.118157,1847152,4345856,6630
34,https://mindfulnesseveryday.org,284156.598076,3,1,143,18275,19,41,0.030323,0.013955,0.087728,0.321835,6192580,12263424,4814
35,https://www.sv-naturstein.de,284156.805797,3,1,24,5917,106,197,0.020968,0.014479,0.046326,0.183075,2869736,4481024,3960
36,https://www.dinnede-manufaktur.eu,284157.200207,3,1,20,15098,20,25,0.027336,0.005722,0.02868,0.136154,3683980,5005312,3987
37,https://wolksoftcr.com,284157.985075,9,14,560,46608,30,58,0.028685,0.042426,0.337124,0.903147,19710376,38354944,4716
38,https://www.getriebenotdienst.de,284159.348143,1,1,1284,59509,140,152,0.091343,0.031471,0.060848,0.624737,4089268,10076160,4841
39,http://www.lazyriveroutpost.com,284159.582435,8,6,51,7401,39,404,0.012653,0.043647,0.09578,0.324116,4007100,6053888,6846
40,https://www.la-choue.com,284164.751745,2,3,497,39233,76,208,0.053814,0.02596,0.185433,0.602586,6547568,8937472,7458
41,https://www.xn--colosseum-rheinbllen-jbc.de,284165.060634,9,4,294,29271,30,36,0.017923,0.008564,0.085887,0.231154,5924028,11296768,7070
42,https://dieschreyers.com,284165.756674,4,1,44,13393,28,37,0.010401,0.008804,0.060634,0.181773,4321328,6152192,8076
43,http://koniksport.pl,284166.295438,1,1,222,36021,43,179,0.03078,0.023692,0.140414,0.528491,7406964,17850368,7867
44,https://www.murphys-tattoo.de,284166.48489,4,1,24,3272,16,19,0.004272,0.005607,0.126396,0.221997,5366800,9199616,6301
45,https://www.bunert.de,284169.597412,7,7,730,34830,47,60,0.03469,0.023841,0.232805,0.994694,8590512,19161088,9793
46,https://www.nppaa.net,284169.726756,3,1,21,1267,15,15,0.003306,0.002544,0.160226,0.219011,7243308,11128832,8814
47,https://escapethis.place,284170.088672,5,5,14,7131,8,9,0.012158,0.004481,0.081725,0.171221,5041224,9199616,9950
48,https://www.thevintagehampercompany.uk,284170.231093,7,3,14,253,9,9,0.011377,0.002498,0.104141,0.180047,4681848,7626752,2939
49,https://www.leni-parkett.de,284170.413021,4,1,21,3992,8,9,0.017444,0.00237,0.015478,0.088008,1905956,3821568,3759
50,https://tyremanmc.com.au,284171.884788,2,5,180,26447,45,61,0.053645,0.018116,0.419568,0.823851,13417956,31834112,4737
51,https://www.boersenblatt.net,284173.806847,7,4,6924,477765,150,1265,0.216935,0.147645,0.5863,3.367775,23666224,42147840,9935
52,https://www.ariesdogland.com,284174.204494,1,4,269,63945,22,25,0.044185,0.0321,0.141646,0.924995,10286816,29908992,5708
53,https://www.drbaby2th.com,284178.12595,13,6,211,17388,41,82,0.031641,0.011933,0.217395,0.465825,8894408,12607488,5215
54,https://dkcare247.co.uk,284179.299134,4,1,86,31985,24,60,0.018905,0.021058,0.117218,0.330126,6886220,11239424,2048
55,http://www.gjcargo.com,284180.841111,4,1,71,10905,19,42,0.017189,0.007775,0.060652,0.162367,4075272,8413184,2973
56,http://www.xn--mhrke-gastrotechnik-q6b.de,284180.99119,3,1,0,623,6,5,0.004143,0.000829,0,0.051527,1249264,3297280,3901
57,http://www.bmtinc.us,284181.169545,4,3,63,2590,10,11,0.0052,0.00275,0.043987,0.142258,3646844,6578176,3213
58,https://campinggranby.com,284181.622867,2,1,135,25470,101,493,0.039152,0.037398,0.283787,0.813328,11432400,18882560,7806
59,http://www.nazionale.net,284181.74871,6,5,33,1263,15,17,0.004823,0.001977,0.081112,0.158276,4788812,6840320,8558
60,https://www.logistaparcel.com,284182.874156,4,3,128,27504,17,35,0.015739,0.008248,0.109865,0.25642,7073752,12152832,4178
61,http://www.cskonferencia.sk,284184.085074,77,77,251,16289,21,25,0.019079,0.012511,0.098977,0.444591,4148636,10510336,8599
62,https://www.henderson-engineers.co.uk,284184.427894,4,1,36,6397,16,20,0.019579,0.01519,0.023856,0.154276,3201172,6492160,1248
63,https://www.cslmgmt.com,284184.713835,8,5,25,543,14,15,0.004658,0.001933,0.109174,0.18372,4970196,7364608,3524
64,http://www.cellcost.pk,284185.612164,3,1,119,10180,15,31,0.01045,0.003721,0.080952,0.163877,6673920,10510336,3358
65,https://www.cslmha.com,284193.2712,3,12,318,27854,44,73,0.021259,0.015811,0.435966,0.786629,17652840,27029504,6254
66,https://praxisgemeinschaft-am-ringelberg.de,284193.609237,2,1,174,7374,24,44,0.031786,0.012913,0.225688,0.420238,8496668,16539648,5078
67,https://www.cskimkaratefortwayne.com,284193.951501,5,2,110,18544,22,20,0.115968,0.018281,0.064926,0.430074,7261780,12308480,1946
68,http://jamienicholas.com,284194.140572,4,1,57,2427,5,6,0.005737,0.002308,0.034247,0.098159,2307640,3821568,10292
69,https://shop.ncreu.org,284195.041724,3,1,628,23418,10,18,0.028303,0.006787,0.259143,0.436013,10354928,13967360,9351
70,https://waldwichtel-koeln.de,284196.06175,10,4,59,6441,15,20,0.016724,0.007434,0.039976,0.14812,2897744,4481024,9275
71,https://www.dktcommunication.com,284196.478135,4,1,122,20234,51,67,0.026689,0.015345,0.201168,0.378958,7244040,9502720,13199
72,http://www.klugpharma.com,284196.71983,3,1,65,8833,29,82,0.01858,0.005158,0.031723,0.125019,3420420,6053888,2022
73,https://ssquebec.com,284198.206737,2,1,217,9745,10,12,0.018455,0.019744,0.05497,0.290545,4465940,10248192,3259
74,https://www.moebel-mueller-juechen.de,284198.647167,4,1,65,2855,19,20,0.006407,0.001703,0.025991,0.067058,3113992,5267456,2154
75,https://www.cskeryado.fr,284200.262037,4,1,102,11041,72,84,0.0632,0.036635,0.091572,0.31632,4506524,9310208,3190
76,https://www.terrier.de,284201.54693,4,1,274,20973,34,51,0.036054,0.018306,0.172848,0.372082,5387416,10510336,4725
77,https://www.horselssenteret.no,284201.835516,4,1,104,1180,8,26,0.004567,0.002518,0.215496,0.307749,6130748,11034624,1493
78,https://www.twinbrookpool.org,284202.372128,5,3,45,8905,21,28,0.010757,0.007454,0.090123,0.248122,3890416,5529600,16052
79,https://www.hospitalcandidoportinari.com.br,284202.783423,4,3,83,1277,85,93,0.070874,0.034767,0.247919,0.579438,7050504,12345344,7869
80,https://columbia-pi.com,284203.342887,3,8,327,10342,42,68,0.061945,0.080978,0.25088,0.767046,6766476,17588224,8133
81,https://www.startklahr.biz,284205.584208,10,10,665,21802,69,95,0.026139,0.040582,0.112151,0.448159,5969780,11771904,4162
82,http://nestaenergies.com,284206.398881,3,1,58,12741,13,13,0.00911,0.004018,0.06045,0.156041,4027088,5791744,1357
83,https://www.ebmag.com,284207.116965,8,10,314,28550,57,76,0.028012,0.018331,0.482266,1.078352,29757352,45719552,6084
84,https://amazonrainforestconservancy.com,284207.448059,6,7,131,10948,46,54,0.077408,0.029474,0.098452,0.428953,4605340,7626752,6749
85,https://www.casagarage.it,284209.47359,3,4,85,10481,27,55,0.008073,0.009471,0.179638,0.362663,9206600,19398656,7221
86,https://www.logopediehellingman.nl,284211.612994,6,5,90,11929,16,21,0.014421,0.003084,0.023698,0.386439,3618000,4743168,3685
87,https://www.reseauvita.fr,284212.280863,26,27,667,27210,69,132,0.023979,0.020579,0.253193,0.654929,20280732,40665088,7915
88,http://www.beginningdreamsdaycare.com,284212.699844,5,3,134,5822,23,23,0.007952,0.00612,0.123828,0.217526,5893056,9629696,8835
89,https://penedesindustrial.com,284213.755737,10,10,94,15829,112,189,0.036571,0.01907,0.697299,0.923208,7511848,11399168,3875
90,https://virtuosolaw.com,284219.283724,3,5,1098,52930,36,153,0.043595,0.036402,0.26292,0.733693,9112380,19374080,2014
91,https://www.arhamdisplays.com,284221.050108,4,3,189,26814,123,212,0.0608,0.025078,0.184948,0.55482,7313408,11558912,2612
92,https://cheekyplum.com,284221.071069,12,13,5679,90824,22,63,0.017129,0.044664,0.682704,1.331515,25401480,41717760,7434
93,https://www.drrettner.com,284221.586255,5,2,189,27765,260,408,0.041548,0.019149,0.153225,0.335741,7573368,11534336,7197
94,https://www.forever-decorationsdemariage.fr,284223.625889,2,2,175,25296,85,117,0.044523,0.021718,0.211925,0.693411,7098848,13393920,8180
95,https://cosytoesphotography.co.uk,284224.100456,3,4,159,35788,29,64,0.021101,0.009351,0.323257,0.616334,12071164,20733952,15627
96,https://www.zimmerei-meister-schmidt.de,284224.262969,3,1,28,3686,12,10,0.005198,0.001773,0.008133,0.054653,2160180,3956736,4199
97,https://nssrc.org,284224.678538,5,1,52,9675,20,20,0.008801,0.004035,0.109595,0.20059,7377156,11546624,2381
98,https://olavarriaga.com,284226.246043,5,2,114,11555,18,21,0.015658,0.010811,0.098842,0.321873,5509536,8413184,11815
99,https://browndogindustries.com,284227.322441,4,1,34,24364,7,5,0.016673,0.004449,0.045393,0.14131,3157876,6053888,5412
100,https://www.shotrockshop.com,284228.974356,4,3,0,2789,6,5,0.005154,0.00103,0.002477,0.043351,1364584,3297280,5085
101,http://www.cskatalogy.cz,284229.090434,3,1,29,1984,14,18,0.004189,0.001206,0.011842,0.047705,2743836,5267456,1801
102,https://handtruxtoys.com,284229.652036,3,1,56,6197,6,9,0.007177,0.01004,0.013082,0.079768,2719356,5394432,2102
103,https://www.citroenspecialistvangompel.nl,284231.213525,2,3,117,14212,55,101,0.026989,0.02228,0.222254,0.566707,9372472,18051072,6335
104,http://westonbayyc.co.uk,284231.35452,3,1,2,436,6,6,0.002186,0.001023,0.002558,0.035365,1713820,3297280,2075
105,https://trattoriadibernardone.com,284231.760466,14,9,107,12824,16,26,0.008867,0.003479,0.081999,0.178074,5047856,10510336,4896
106,https://www.ms3.com.br,284232.594189,4,1,153,10299,53,116,0.020615,0.029762,0.161885,0.598346,8060588,13406208,7086
