S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.csjfilter.com,280540.314224,3,1,36,4193,21,37,0.009055,0.002371,0.01726,0.061764,2281176,3956736,5168
2,http://www.ecan.be,280542.336585,1,1,118,8137,17,19,0.010333,0.004608,0.042488,0.138922,5078048,15753216,3426
3,https://www.rayun.cl,280544.010968,2,3,223,13699,59,302,0.023517,0.018522,0.275729,0.485524,11865552,29138944,6332
4,http://www.altreetz-online.de,280544.325043,4,2,35,2807,6,5,0.007213,0.00116,0.00011,0.046669,1843400,3297280,4344
5,https://www.rechtsanwalt-moellers.de,280544.54469,3,1,15,6459,16,20,0.007079,0.001649,0.020878,0.066186,2664588,4608000,5005
6,https://mondo.cl,280544.932093,4,1,45,5982,20,83,0.009377,0.006658,0.0617,0.14917,4330696,9199616,3499
7,https://heilpraktiker-silke-wagner.de,280545.256554,3,1,147,13599,18,21,0.01165,0.006046,0.111098,0.201828,6324200,11558912,3925
8,http://www.csjlfz.com,280546.303708,3,1,147,21319,12,12,0.025275,0.008903,0.020688,0.168003,3252460,5296128,3171
9,https://hospitalismaelroldan.gov.co,280546.570067,2,3,156,11264,50,93,0.021866,0.014305,0.234319,0.476215,8741544,19161088,6295
10,https://hi-management.com,280547.011802,4,1,106,14872,20,27,0.035375,0.01808,0.110075,0.284942,7099212,12312576,3944
11,https://woolfplumbing.com.au,280562.439393,9,6,424,8593,48,164,0.039563,0.017366,0.278846,4.239752,11069972,14966784,2419
12,https://www.kampasa.fr,280562.919548,3,4,372,37706,23,25,0.066961,0.033973,0.164062,0.89999,24292740,37388288,2179
13,https://www.autocaresalcaide.net,280563.072523,6,5,262,34934,519,551,0.088167,0.095006,0.281186,0.89637,4504324,6840320,2784
14,https://www.pflegeverbund-opf.de,280563.47035,4,1,453,20624,24,65,0.040152,0.028947,0.118989,0.423264,5409080,9986048,2814
15,https://www.tiddleschildcare.co.uk,280563.953428,6,1,110,17433,394,474,0.056388,0.023491,0.12052,4.415392,3984504,6840320,1551
16,https://freedomfabmt.com,280564.338329,4,1,263,19468,44,69,0.101644,0.037259,0.116787,0.570089,7577900,12337152,4072
17,https://hairlounge-lueneburg.de,280564.471676,4,1,102,3769,18,244,0.005318,0.014911,0.057848,0.215503,3199128,4743168,2249
18,https://www.yara.co.zm,280564.625742,1,2,463,251157,9,9,0.020572,0.011299,1.947291,2.471469,8910896,19013632,1584
19,https://safen.sk,280565.834148,4,2,217,46306,25,36,0.018623,0.010845,4.054518,4.383696,9503220,19861504,4821
20,https://www.tsv-simbach.de,280566.232356,2,1,167,18259,129,249,0.033917,0.031069,0.144602,1.692812,7837716,10145792,19293
21,https://www.teammania.de,280566.604646,2,1,94,7168,32,51,0.012402,0.005681,0.162596,0.316361,4515476,10510336,1414
22,http://www.mobilitas-physiotherapie.de,280567.466739,3,1,27,9712,13,14,0.018295,0.007584,0.03048,0.146809,2858300,4620288,2677
23,http://www.csk-guidelineari.com,280567.65552,3,1,38,2434,5,4,0.003198,0.001298,0.007649,0.053953,1742184,3694592,2922
24,http://shalomeuropa.de,280568.140784,4,3,59,12112,14,11,0.01131,0.005246,0.011421,0.112105,1996524,4083712,4342
25,http://www.elevake.eu,280568.487151,3,1,31,8946,9,26,0.009669,0.004183,0.044883,0.109114,2908772,5656576,3447
26,https://www.gs-wallertheim.de,280569.649604,4,1,208,7287,24,28,0.013114,0.008752,0.121161,0.299693,9229172,13447168,3957
27,https://www.woond.nl,280569.902076,5,1,52,5304,21,38,0.008196,0.003985,0.084049,0.169198,5649692,9723904,3327
28,https://www.via4spine.de,280572.308397,4,1,157,33062,22,33,0.021725,0.007215,0.037554,0.181162,4267772,9101312,2944
29,https://www.tennisclub-weiler.de,280572.63811,1,1,129,6551,54,143,0.035598,0.028615,0.173076,0.610086,4482176,10772480,6670
30,http://www.gabdesigns.co.uk,280572.784866,3,1,0,2694,7,3,0.005613,0.001013,0.000671,0.036911,1313496,3035136,2509
31,https://www.mmkn.org,280575.768056,1,1,281,22127,346,547,0.071824,0.029382,0.322409,0.581325,14214144,23838720,4180
32,https://www.codeunique.de,280579.969783,3,1,54,17114,9,53,0.012394,0.0036,0.027048,0.126605,1847128,4345856,7538
33,https://mindfulnesseveryday.org,280580.770129,1,1,145,18343,18,37,0.023419,0.012145,0.059323,0.277447,5935780,12001280,3323
34,https://www.sv-naturstein.de,280580.940012,3,1,24,6274,165,289,0.021873,0.010923,0.043925,0.148458,3356252,4481024,3684
35,https://www.getriebenotdienst.de,280582.212692,1,1,1284,61300,140,151,0.076925,0.028141,0.058246,0.482524,4093468,9814016,3876
36,https://wolksoftcr.com,280582.962876,14,19,584,48117,32,69,0.03595,0.041544,0.361026,0.815996,16264576,25165824,7100
37,https://www.la-choue.com,280589.740529,2,3,495,21341,69,200,0.045854,0.03026,0.263551,0.668997,6152684,8675328,4867
38,https://www.dinnede-manufaktur.eu,280590.188534,3,1,20,15098,21,27,0.024769,0.002937,0.021576,0.117821,3684416,5005312,6003
39,https://www.xn--colosseum-rheinbllen-jbc.de,280591.30039,9,4,302,30946,32,47,0.020253,0.009604,0.078181,0.223031,5954992,8151040,9967
40,https://dieschreyers.com,280592.056423,4,1,44,13393,28,37,0.012425,0.009236,0.085834,0.20151,4321112,6152192,8214
41,https://www.bunert.de,280594.763652,7,7,562,33172,51,66,0.025679,0.019545,0.226998,0.744246,8519244,14180352,8998
42,https://escapethis.place,280595.143944,5,5,14,7131,8,9,0.010059,0.004152,0.086875,0.170603,5041360,9461760,4919
43,http://koniksport.pl,280595.664886,1,1,218,36021,44,179,0.037098,0.019619,0.135615,0.430682,7405980,18374656,11570
44,https://www.murphys-tattoo.de,280595.905393,4,1,24,3272,16,18,0.00428,0.004089,0.083663,0.158287,5012868,8937472,4255
45,https://www.nppaa.net,280596.033335,3,1,21,1267,15,16,0.00235,0.001741,0.099515,0.134459,6966772,11128832,5491
46,https://www.ariesdogland.com,280598.5946,1,4,268,63945,26,26,0.041237,0.026054,0.160886,0.881475,10278016,29908992,2771
47,https://www.leni-parkett.de,280598.829055,4,1,21,3992,8,9,0.005357,0.001157,0.009348,0.060817,1902792,3821568,2762
48,https://www.boersenblatt.net,280600.577638,7,4,6921,484265,150,1264,0.271737,0.12527,0.454568,2.909133,17640336,37388288,5491
49,https://www.drbaby2th.com,280602.997275,13,6,216,17394,44,84,0.027886,0.010607,0.146465,0.347146,10260976,13901824,2453
50,https://tyremanmc.com.au,280604.865929,2,5,180,26447,47,65,0.045751,0.014847,0.338398,0.639755,13721100,31571968,3880
51,https://dkcare247.co.uk,280610.12205,4,1,88,31985,25,59,0.014881,0.01361,0.311475,0.478684,6913840,11239424,1287
52,https://www.thevintagehampercompany.uk,280610.271602,7,3,18,698,12,12,0.005818,0.001475,0.070436,0.15136,4785232,7626752,4192
53,http://www.xn--mhrke-gastrotechnik-q6b.de,280610.458944,3,1,0,623,5,4,0.002644,0.000468,0,0.044896,1249264,3297280,1917
54,http://www.gjcargo.com,280612.043717,4,1,71,10905,19,43,0.012151,0.007349,0.053893,0.127423,4012852,6578176,5682
55,https://campinggranby.com,280612.54747,1,1,136,25354,106,239,0.03092,0.020476,1.162377,1.556228,9205960,18079744,8955
56,https://www.logistaparcel.com,280613.079913,4,3,128,27522,20,34,0.012506,0.006115,0.082465,0.202959,5833380,11034624,2099
57,http://www.cskonferencia.sk,280616.511327,158,77,257,30688,21,28,0.015744,0.009847,0.068209,0.297787,6957368,12013568,4899
58,https://www.cslmgmt.com,280616.661477,8,5,25,543,14,15,0.004146,0.001966,0.085597,0.142824,4950204,7364608,3331
59,https://praxisgemeinschaft-am-ringelberg.de,280616.895351,1,1,51,6858,17,35,0.014094,0.004211,0.122739,0.244513,4965184,15491072,3905
60,https://www.cslmha.com,280624.12206,4,12,325,27870,47,82,0.02146,0.020737,0.366948,0.608877,17916084,27029504,4864
61,http://www.nazionale.net,280624.336059,8,6,38,1274,19,22,0.006722,0.002075,0.095602,0.144969,5280656,9199616,7088
62,https://www.henderson-engineers.co.uk,280624.592612,4,1,36,6396,16,15,0.012546,0.008654,0.018531,0.109432,3202060,6492160,1908
63,https://www.cskimkaratefortwayne.com,280626.401523,2,2,45,13962,19,18,0.044729,0.014179,0.047999,0.281471,4574376,15491072,1601
64,http://www.cellcost.pk,280627.257655,3,1,110,10179,15,30,0.01017,0.00385,0.078368,0.158301,5446396,7626752,9817
65,https://www.dktcommunication.com,280628.524123,4,1,122,20217,48,59,0.019406,0.009692,0.133961,0.266008,7078936,9994240,11183
