S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,279421.337268,5,5,118,15064,25,20,0.050002,0.041913,0.054636,0.303533,7145812,16748544,5059
2,http://www.altreetz-online.de,279421.665726,4,3,35,2621,6,6,0.008774,0.00236,0.000272,0.052188,1431128,3297280,5063
3,http://www.csjfilter.com,279424.941987,3,1,32,3792,39,93,0.034962,0.019084,0.026817,0.236478,2397012,3956736,10971
4,https://www.rayun.cl,279425.491938,2,4,221,13024,60,245,0.034241,0.067615,0.271599,0.652135,11301120,19836928,9970
5,https://mondo.cl,279426.046292,4,1,75,5194,33,51,0.01682,0.021223,0.063697,0.2232,4291104,6840320,6059
6,https://heilpraktiker-silke-wagner.de,279427.020991,3,1,200,12145,42,41,0.056374,0.030131,0.1113,0.367293,6391016,11558912,5201
7,https://www.rechtsanwalt-moellers.de,279427.228863,3,1,15,6161,20,23,0.009655,0.006133,0.027099,0.09597,2833244,4743168,8746
8,https://hospitalismaelroldan.gov.co,279427.523126,34,19,354,22574,64,104,0.074024,0.049718,0.180362,0.658219,14068000,20873216,7749
9,https://woolfplumbing.com.au,279428.544748,12,8,443,8810,48,142,0.054882,0.055182,0.267157,0.679296,13059200,19947520,3737
10,http://www.csjlfz.com,279429.41029,4,3,264,9463,26,36,0.056459,0.054836,0.135532,0.500715,6260896,10510336,5552
11,https://hi-management.com,279430.258615,4,1,107,15172,159,170,0.100858,0.067457,0.119396,0.579084,8023716,12312576,6269
12,https://freedomfabmt.com,279431.684563,1,1,239,10502,60,106,0.062536,0.061508,0.174258,0.971648,4353408,9723904,6823
13,https://www.autocaresalcaide.net,279432.158054,14,9,252,24169,39,80,0.086715,0.070841,0.185242,0.720783,6843772,10788864,4384
14,https://www.kampasa.fr,279432.762246,1,2,355,14416,21,23,0.045942,0.032079,0.263582,1.114218,13215144,31625216,4598
15,https://www.pflegeverbund-opf.de,279433.422232,4,1,412,20379,26,71,0.049177,0.059056,0.116346,0.51801,5115396,10248192,4538
16,https://www.yara.co.zm,279433.629347,4,5,260,84087,13,14,0.020211,0.027447,0.223016,0.848034,3744708,13660160,2697
17,https://www.teammania.de,279434.567703,8,3,102,10490,46,57,0.10065,0.020161,0.175189,0.668524,6456508,10407936,2461
18,https://hairlounge-lueneburg.de,279434.80771,4,1,102,3133,18,43,0.020357,0.009522,0.029955,0.153454,2247620,3956736,3889
19,https://www.tiddleschildcare.co.uk,279435.55104,10,3,110,14568,43,37,0.07403,0.026542,0.062525,0.591359,3430036,6086656,4280
20,https://www.tsv-simbach.de,279436.688301,2,2,164,18233,78,101,0.062567,0.055849,0.230827,0.662341,7897508,13815808,9542
21,http://www.mobilitas-physiotherapie.de,279437.212427,3,1,27,9368,15,12,0.02472,0.015057,0.027466,0.176618,2836752,4620288,4419
22,https://safen.sk,279438.158448,5,4,210,45101,43,60,0.161737,0.178978,0.233278,1.085558,7943740,19599360,10562
