S.N,URL,Timestamp,Documents,Frames,JSEventListeners,Nodes,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,ScriptDuration,TaskDuration,JSHeapUsedSize,JSHeapTotalSize,RenderingTime
1,http://www.ecan.be,278713.074103,5,5,118,15064,28,22,0.050065,0.043359,0.047175,0.295148,7146300,16486400,4256
2,https://www.rechtsanwalt-moellers.de,278713.345634,3,1,15,6161,20,23,0.009087,0.00578,0.02414,0.090167,2703088,5656576,3328
3,https://www.rayun.cl,278713.795433,2,4,221,13018,57,210,0.034699,0.065693,0.298598,0.679376,15490872,28487680,6328
4,https://heilpraktiker-silke-wagner.de,278717.593263,3,1,168,12150,36,39,0.051214,0.022856,0.095724,0.328746,6336376,11558912,4319
5,http://www.csjfilter.com,278718.541722,3,1,32,3792,40,106,0.036485,0.024396,0.034305,0.278431,2549888,3956736,11842
6,https://mondo.cl,278719.120063,4,1,75,5194,33,80,0.02065,0.035474,0.066516,0.308564,4368052,7102464,6667
7,http://www.csjlfz.com,278719.74794,8,3,203,21272,23,17,0.032132,0.047616,0.05373,0.365222,3321812,4743168,5380
8,https://hi-management.com,278720.474928,4,1,107,15080,136,150,0.072637,0.06234,0.132049,0.526181,7934508,12312576,5946
9,https://hospitalismaelroldan.gov.co,278720.799687,34,19,354,22605,63,103,0.084992,0.058246,0.400091,0.95495,14337116,21135360,8412
10,https://woolfplumbing.com.au,278721.864514,7,8,427,39122,49,137,0.051737,0.049256,0.25714,0.672953,13509952,23429120,5843
11,https://freedomfabmt.com,278723.943831,1,1,237,10781,68,112,0.236913,0.080445,0.208364,1.235068,4323944,10248192,8469
12,https://www.kampasa.fr,278724.686709,1,2,346,1685,21,24,0.05006,0.027784,0.200779,1.02045,12990456,33316864,4184
13,https://safen.sk,278725.532239,5,4,209,45166,37,52,0.117592,0.122869,0.162467,0.964412,9322864,19337216,4591
14,https://www.autocaresalcaide.net,278725.697078,14,9,253,24393,42,82,0.045554,0.057213,0.20787,0.759376,7102848,10788864,5266
15,https://www.pflegeverbund-opf.de,278726.366115,4,1,412,20376,27,74,0.123972,0.092664,0.176898,0.738735,5085720,10248192,4785
16,https://hairlounge-lueneburg.de,278726.614789,4,1,102,3157,20,50,0.012639,0.009653,0.041484,0.228117,2267892,4218880,4285
17,https://www.yara.co.zm,278726.763904,4,5,407,186062,18,22,0.022107,0.05331,0.205729,0.945277,5368076,14446592,3093
18,https://www.tsv-simbach.de,278727.763101,2,2,141,17633,63,66,0.04578,0.036378,0.163037,0.484756,3942820,6840320,11618
19,https://www.teammania.de,278728.760034,3,3,94,6856,42,56,0.084492,0.015678,0.163069,0.566678,3718092,14966784,3479
20,https://www.tiddleschildcare.co.uk,278730.641559,10,3,110,14684,60,63,0.133023,0.042307,0.089114,0.688634,3669436,6348800,6359
21,http://www.mobilitas-physiotherapie.de,278731.103099,3,1,27,9371,17,12,0.020567,0.014145,0.026902,0.150504,2847076,4620288,3996
22,http://shalomeuropa.de,278731.642867,4,3,239,10460,69,93,0.017165,0.017852,0.089229,0.273492,3672656,6053888,6458
23,https://www.gs-wallertheim.de,278732.761816,10,4,241,6705,26,63,0.045423,0.019413,0.13144,0.357688,7110620,11739136,4306
24,http://www.csk-guidelineari.com,278732.905595,5,2,300,2208,10,9,0.012616,0.009516,0.144942,0.288296,11747736,19161088,5024
25,https://www.tennisclub-weiler.de,278733.369618,1,1,129,5967,54,158,0.042367,0.064213,0.184071,0.715625,4962800,10510336,7130
26,http://www.cheproeng.com,278733.723135,3,1,199,9024,67,152,0.067081,0.047515,0.630893,0.88368,5490972,9986048,5562
27,https://www.woond.nl,278733.987498,5,1,55,4972,27,54,0.014182,0.019934,0.093468,0.971082,5481540,9461760,4121
28,http://www.cruiseoptionsonline.com,278734.613865,5,2,33,381,5,4,0.003072,0.000953,0.000694,0.029798,1275872,3035136,3790
29,https://www.via4spine.de,278735.034887,4,1,157,31805,33,45,0.040834,0.037926,0.039119,0.384257,4310028,8839168,4442
30,http://www.grundschule-zum-obersten-holz.de,278736.454747,3,1,14,5548,21,24,0.008303,0.004648,0.020218,0.079142,2762812,5791744,3452
31,https://www.mmkn.org,278737.619181,1,1,310,19156,351,643,0.10092,0.06576,0.337178,0.813657,14591768,23769088,3549
32,https://hogarprestige.com,278740.653354,19,9,133,14662,33,18,0.064649,0.032105,0.016195,0.303824,1968956,3297280,6516
33,https://mindfulnesseveryday.org,278741.676501,2,1,139,18407,36,37,0.039397,0.021862,0.068273,0.36255,6123400,12001280,6266
34,https://wolksoftcr.com,278743.455267,9,13,458,25204,52,91,0.154342,0.246121,0.400868,1.661735,12961312,33579008,7018
35,https://www.codeunique.de,278743.879526,4,3,87,12440,30,39,0.040983,0.030235,0.034049,0.595455,2323280,4218880,10084
36,https://www.getriebenotdienst.de,278744.767851,2,2,1173,61295,68,76,0.144063,0.091006,0.055741,0.873518,4171832,9785344,5783
37,https://www.dinnede-manufaktur.eu,278745.445907,3,1,20,14774,25,29,0.049808,0.012285,0.023869,0.187996,3685524,5005312,4480
38,https://www.sv-naturstein.de,278746.014628,3,1,24,4776,51,51,0.013328,0.008513,0.02894,0.156662,2753356,4218880,6944
39,https://www.la-choue.com,278746.920779,2,4,495,36255,67,136,0.178301,0.156692,0.235073,1.194915,5886032,16539648,8159
40,http://www.lazyriveroutpost.com,278747.565346,6,4,49,6668,33,114,0.006192,0.01185,0.048844,0.182563,3659016,5005312,6416
41,https://www.xn--colosseum-rheinbllen-jbc.de,278748.551323,11,5,296,28128,41,43,0.02855,0.017289,0.076438,0.27271,5985900,11296768,4370
42,https://www.bunert.de,278750.528721,19,15,641,36839,98,88,0.078204,0.058228,0.243813,0.890035,10776512,19161088,5414
43,https://escapethis.place,278751.50915,13,9,14,7432,11,9,0.01926,0.008837,0.43196,0.545654,5006788,9199616,5051
44,https://dieschreyers.com,278752.218189,4,1,44,13348,36,38,0.023172,0.034422,0.053885,0.291219,3832484,6840320,5620
45,http://koniksport.pl,278753.495824,4,4,199,13995,65,144,0.065827,0.075147,0.122754,0.89331,7629584,17063936,6575
46,https://www.nppaa.net,278753.701344,3,1,21,1266,15,20,0.005457,0.008508,0.136428,0.202808,6971656,11128832,6175
47,https://www.ariesdogland.com,278754.701773,1,4,266,11400,27,24,0.056737,0.022757,0.14289,1.067248,10248920,29646848,2891
48,https://www.thevintagehampercompany.uk,278754.850226,7,3,14,626,11,12,0.006126,0.001769,0.093173,0.168438,4716088,7888896,2402
49,https://www.leni-parkett.de,278755.817577,4,1,21,3963,16,15,0.019388,0.008802,0.018049,0.120993,1904848,4083712,3052
50,https://www.murphys-tattoo.de,278756.246119,6,2,47,7306,22,33,0.033166,0.01901,0.081333,0.225529,4441476,6316032,8797
51,https://tyremanmc.com.au,278757.020914,6,9,180,26015,49,76,0.106887,0.053295,0.359894,0.865765,13087352,23171072,7191
52,https://dkcare247.co.uk,278758.093798,4,1,82,31675,24,56,0.058776,0.068185,0.103615,0.490914,6781816,11763712,2244
53,http://www.xn--mhrke-gastrotechnik-q6b.de,278758.306505,3,1,0,589,6,4,0.003262,0.00076,0,0.056204,1249104,3297280,3377
54,http://www.gjcargo.com,278758.962491,4,1,67,10934,35,60,0.119811,0.052687,0.04895,0.354755,3919212,9199616,3396
55,https://www.drbaby2th.com,278759.642534,7,3,206,17296,27,56,0.111051,0.034188,0.158097,0.62125,6647744,11296768,4539
56,https://www.boersenblatt.net,278762.643071,8,5,6922,363304,249,874,0.564652,0.307016,0.427378,3.775169,14158324,33579008,10455
57,http://www.bmtinc.us,278763.258888,4,3,61,2397,16,17,0.030467,0.010407,0.05145,0.176691,3830588,6578176,6306
58,https://www.logistaparcel.com,278766.045848,18,11,136,26073,26,38,0.022315,0.030394,0.088745,0.300285,6310800,11358208,6038
59,https://campinggranby.com,278767.835127,3,3,134,23985,122,328,0.097782,0.206229,0.445857,1.390461,7829648,13918208,10098
60,http://www.cskonferencia.sk,278769.277546,158,77,257,31366,43,50,0.114731,0.148169,0.112339,0.891908,6967320,12013568,7621
61,http://www.nazionale.net,278769.516758,6,5,30,1248,18,20,0.00632,0.002258,0.104014,0.170385,5059720,7364608,9447
62,https://praxisgemeinschaft-am-ringelberg.de,278770.37912,1,1,56,17393,40,56,0.053585,0.048957,0.172666,0.519323,7414232,16015360,5136
63,https://www.cslmha.com,278771.143696,3,12,302,13738,55,83,0.051296,0.043583,0.490925,1.061741,14852360,25190400,9532
64,https://www.cslmgmt.com,278771.28075,8,5,21,172,12,12,0.005061,0.002142,0.088039,0.163955,4870480,6316032,7056
65,https://www.henderson-engineers.co.uk,278771.852933,4,1,36,6236,16,18,0.02944,0.026602,0.027634,0.211416,3169532,6230016,2428
66,http://www.cellcost.pk,278772.692976,3,1,117,9887,21,28,0.06089,0.014318,0.189894,0.375856,6679956,10248192,5672
67,https://www.cskimkaratefortwayne.com,278774.832199,2,3,280,17033,18,21,0.055152,0.019661,0.107931,0.562302,10083208,20443136,2616
68,https://shop.ncreu.org,278776.979309,3,1,632,24140,12,25,0.025545,0.061264,0.261356,0.500204,12698776,22003712,5153
69,https://waldwichtel-koeln.de,278778.812868,12,5,139,6435,19,26,0.047183,0.029922,0.042168,0.247663,3285424,5013504,5993
70,https://www.twinbrookpool.org,278779.213096,5,3,45,8096,21,30,0.017063,0.026611,0.062952,0.257797,3338588,4743168,8350
71,http://www.klugpharma.com,278779.734406,3,1,65,8398,49,68,0.054144,0.035249,0.043636,0.245517,3388368,6053888,2150
72,https://www.dktcommunication.com,278781.04223,4,1,122,19207,54,82,0.055133,0.048086,0.15533,0.584209,8385064,12283904,9717
73,https://columbia-pi.com,278781.661937,3,9,328,9418,49,84,0.081223,0.11436,0.234522,0.828142,6709952,17588224,6639
74,https://ssquebec.com,278782.63299,2,1,217,7586,15,16,0.037367,0.028196,0.057876,0.381264,4596104,10772480,2151
75,https://www.hospitalcandidoportinari.com.br,278783.957183,4,3,85,5753,88,93,0.038449,0.02355,0.211503,0.44017,7564400,12607488,8258
76,https://www.moebel-mueller-juechen.de,278784.496045,6,2,65,2405,25,25,0.020893,0.015417,0.032295,0.176566,3111832,5267456,4097
